number,region,area_sqm,num_rooms,num_bathrooms,building_age
610,강남,158,4,2,9
611,기타,131,3,3,38
612,강북,69,5,2,
613,기타,174,3,2,28
614,기타,183,3,2,4
615,강북,76,3,3,9
616,강북,68,4,2,10
617,강북,84,1,3,25
618,강북,99,4,1,35
619,서초,183,3,2,25
620,강남,69,4,2,9
621,기타,153,2,2,12
622,강남,154,2,3,21
623,강남,108,5,1,13
624,서초,58,4,3,12
625,마포,63,2,2,39
626,기타,64,1,3,37
627,강북,108,3,1,15
628,기타,134,5,2,18
629,마포,67,5,3,24
630,강남,93,2,2,24
631,기타,148,2,3,24
632,강남,169,3,3,6
633,강북,121,2,2,13
634,마포,170,4,1,8
635,서초,73,4,3,30
636,마포,119,4,3,17
637,,75,5,2,34
638,서초,143,5,3,25
639,강북,125,5,1,30
640,강북,90,5,1,19
641,강북,132,1,3,15
642,기타,145,4,1,31
643,마포,65,3,2,11
644,강북,175,5,2,31
645,강북,182,,2,2
646,,99,5,2,8
647,강북,180,3,2,4
648,강북,123,3,1,13
649,마포,60,2,3,11
650,마포,176,4,1,33
651,강북,140,2,1,4
652,강북,143,5,1,29
653,,186,5,2,24
654,서초,96,4,2,32
655,서초,148,1,1,1
656,기타,140,2,1,24
657,마포,131,4,3,31
658,강북,128,1,1,35
659,강북,175,2,2,2
660,,165,5,3,33
661,강북,150,4,2,12
662,강북,144,2,3,29
663,마포,130,2,2,35
664,,183,2,3,24
665,마포,61,2,3,11
666,서초,99,5,1,39
667,강북,156,3,1,
668,마포,177,4,3,3
669,강북,66,2,3,19
670,,160,4,1,36
671,강북,120,2,1,19
672,마포,66,5,2,17
673,기타,125,2,1,25
674,강남,119,3,1,2
675,서초,147,5,1,29
676,마포,187,4,2,1
677,강북,122,4,3,32
678,서초,183,4,3,30
679,서초,104,3,2,28
680,강북,170,3,3,38
681,강남,50,5,3,18
682,서초,66,1,3,10
683,강북,189,3,2,19
684,마포,117,2,2,16
685,강북,65,1,3,5
686,강남,164,1,3,4
687,강남,53,3,1,28
688,마포,153,5,1,27
689,강북,160,,2,23
690,서초,90,2,3,37
691,강남,103,3,2,11
692,강북,174,1,2,3
693,서초,61,2,3,17
694,서초,93,3,1,23
695,강남,115,1,2,29
696,강남,56,5,2,26
697,강남,101,4,1,19
698,강북,154,2,2,19
699,서초,125,2,1,0
700,강북,192,3,1,11
701,마포,94,5,2,26
702,마포,183,3,1,36
703,마포,70,2,2,34
704,강북,118,1,2,6
705,강남,125,3,2,0
706,서초,80,,3,27
707,서초,142,2,1,28
708,강남,127,5,1,20
709,서초,125,4,1,12
710,강남,69,2,2,7
711,강북,187,4,1,9
712,강남,115,1,3,32
713,강남,145,2,3,8
714,강남,100,5,2,34
715,강남,194,1,3,24
716,서초,73,2,1,14
717,강남,154,1,3,31
718,강북,163,4,2,21
719,강남,70,2,2,1
720,강북,142,2,3,16
721,기타,91,3,3,5
722,서초,55,4,2,
723,강북,107,,1,17
724,서초,199,,3,2
725,강북,105,4,3,11
726,마포,111,2,1,18
727,마포,94,3,,39
728,강남,61,3,3,11
729,마포,82,1,1,
730,서초,148,1,3,24
731,서초,193,1,2,11
732,기타,103,4,2,30
733,강북,128,2,2,6
734,마포,144,2,1,2
735,강남,69,1,3,12
736,강남,130,,3,38
737,강북,157,5,1,16
738,강남,96,3,3,10
739,강북,135,1,3,25
740,서초,132,2,2,11
741,강북,192,4,3,16
742,서초,114,2,2,26
743,강북,103,3,1,27
744,서초,115,2,3,9
745,강북,104,1,3,9
746,서초,181,2,2,32
747,강남,53,4,1,37
748,기타,114,2,3,6
749,마포,176,3,1,16
750,강북,60,,1,30
751,강북,125,5,3,38
752,마포,183,,1,4
753,마포,79,3,2,39
754,서초,73,5,3,14
755,강남,53,2,2,16
756,기타,182,5,2,0
757,마포,66,2,1,31
758,강북,117,1,3,31
759,강북,112,2,3,32
760,마포,184,4,1,1
761,강남,105,,3,34
762,기타,82,1,3,22
763,마포,151,1,1,1
764,강남,77,4,2,39
765,서초,189,4,3,26
766,강남,155,5,3,24
767,기타,190,2,2,18
768,마포,53,1,1,11
769,서초,167,1,2,9
770,강남,93,1,2,9
771,강남,181,3,2,22
772,강남,72,3,1,37
773,마포,174,,2,37
774,강북,70,4,2,10
775,서초,57,1,1,35
776,서초,105,3,2,4
777,강남,180,2,2,36
778,강남,141,3,1,25
779,서초,106,3,1,13
780,마포,62,2,1,28
781,강남,77,5,1,
782,강북,180,2,2,
783,마포,60,4,1,5
784,서초,180,5,2,25
785,강북,160,3,1,10
786,기타,169,,1,4
787,마포,125,5,2,12
788,강북,134,3,3,27
789,강남,54,1,2,33
790,서초,129,3,1,11
791,강북,57,5,3,33
792,서초,113,1,1,35
793,강남,130,4,1,19
794,강남,125,3,2,22
795,마포,67,3,2,
796,기타,140,3,3,7
797,강북,90,3,3,35
798,강남,174,1,3,
799,강남,152,4,1,10
800,마포,112,1,3,29
801,마포,146,1,3,33
802,강남,167,1,3,15
803,강북,77,5,2,35
804,강남,191,3,1,39
805,강남,89,5,3,25
806,마포,125,2,3,25
807,강남,135,5,1,19
808,강남,88,2,1,26
809,강북,114,3,1,15
810,마포,98,3,3,0
811,마포,125,3,2,31
812,강남,106,,3,24
813,서초,122,4,2,15
814,서초,183,5,1,31
815,강남,183,2,2,18
816,강남,54,2,,27
817,마포,144,5,3,34
818,강남,195,2,2,16
819,강남,160,5,1,36
820,강남,73,4,1,7
821,서초,186,3,1,2
822,강북,192,1,3,2
823,강북,168,1,2,26
824,강북,121,2,1,33
825,마포,146,1,2,25
826,강남,82,4,3,22
827,마포,88,2,2,37
828,마포,66,4,1,27
829,기타,184,2,2,38
830,서초,196,5,3,2
831,강남,144,4,3,1
832,마포,59,1,1,35
833,서초,158,5,1,0
834,강남,126,2,2,27
835,강북,161,1,2,22
836,강북,164,1,3,12
837,강북,99,3,1,24
838,마포,125,3,3,32
839,강북,155,4,3,6
840,강남,70,5,3,18
841,기타,193,2,3,20
842,강남,113,3,3,24
843,강남,146,5,3,0
844,강북,84,2,3,4
845,서초,69,1,3,14
846,기타,136,2,3,28
847,마포,160,1,2,30
848,강남,178,3,1,3
849,기타,85,1,2,18
850,강북,196,3,3,13
851,서초,156,,1,18
852,서초,112,4,1,3
853,서초,91,2,2,3
854,기타,124,5,1,9
855,마포,76,3,3,18
856,서초,86,1,2,15
857,마포,195,3,1,15
858,서초,118,5,2,32
859,강북,101,3,2,5
860,강남,178,4,3,36
861,강북,181,2,3,32
862,마포,116,2,1,22
863,강남,144,3,2,1
864,강남,194,2,3,36
865,마포,83,4,2,33
866,강남,166,5,3,34
867,강남,88,5,3,0
868,강북,190,5,1,2
869,강북,75,1,1,33
870,서초,143,5,1,22
871,강북,57,3,2,35
872,기타,67,2,2,5
873,강남,158,,1,12
874,강남,191,5,,19
875,서초,169,5,2,17
876,서초,139,1,2,34
877,강남,72,3,1,22
878,서초,167,4,3,22
879,,60,1,2,39
880,마포,154,5,3,26
881,마포,146,4,2,38
882,기타,92,1,1,7
883,강남,164,3,2,10
884,강남,96,3,2,39
885,강남,77,4,1,16
886,서초,73,2,2,33
887,강남,175,4,3,33
888,강남,140,4,2,14
889,마포,84,2,3,20
890,강남,99,1,2,31
891,서초,67,5,1,23
892,강남,118,1,,5
893,강남,67,3,1,6
894,강남,140,4,2,19
895,기타,64,2,2,38
896,강남,188,2,2,1
897,서초,138,3,3,18
898,강북,132,5,1,3
899,강남,65,4,1,24
900,서초,76,3,3,17
901,강남,181,4,2,29
902,강남,125,1,2,31
903,강북,198,2,,10
904,강북,53,5,2,33
905,강북,194,1,3,25
906,강남,123,5,1,10
907,서초,140,4,2,10
908,기타,153,5,3,24
909,마포,175,3,2,2
910,강북,81,2,2,5
911,마포,179,1,3,32
912,강남,131,1,3,19
913,기타,73,2,3,9
914,강북,175,3,2,20
915,서초,136,4,2,26
916,기타,137,5,2,22
917,서초,76,3,3,38
918,강북,112,4,2,34
919,강남,114,3,3,20
920,서초,188,2,2,6
921,강남,180,2,3,13
922,마포,79,4,1,21
923,마포,159,3,1,
924,강남,180,2,1,3
925,강남,76,5,3,34
926,강북,169,2,1,14
927,기타,150,4,3,14
928,강남,163,1,3,22
929,강남,60,,3,8
930,강북,176,1,3,29
931,마포,136,1,1,15
932,기타,154,3,2,33
933,서초,133,1,3,20
934,서초,199,1,2,28
935,강남,111,3,1,14
936,서초,70,5,1,8
937,강남,148,3,1,17
938,강북,52,1,3,15
939,강북,194,4,2,18
940,강남,105,1,3,8
941,강북,160,4,2,33
942,마포,91,4,3,36
943,강남,76,1,1,36
944,기타,116,4,2,35
945,강남,181,3,3,13
946,기타,72,4,3,27
947,서초,198,,1,19
948,강북,117,4,2,3
949,강남,154,2,3,36
950,강남,146,3,2,31
951,서초,142,1,1,6
952,강북,125,4,3,11
953,서초,132,1,3,28
954,서초,99,1,1,22
955,강북,87,2,3,38
956,서초,185,3,3,22
957,강남,88,4,1,35
958,마포,59,3,3,15
959,강남,104,2,1,11
960,강북,197,2,2,1
961,강북,114,2,2,9
962,강남,104,3,3,3
963,강북,119,4,2,24
964,서초,136,5,2,5
965,강북,86,5,2,
966,강북,93,3,3,12
967,서초,128,2,1,34
968,서초,194,1,3,32
969,강북,190,2,1,22
970,,134,5,3,23
971,강북,110,4,3,17
972,강남,68,5,2,26
973,마포,54,1,1,24
974,기타,171,4,3,15
975,강북,68,,2,25
976,서초,52,4,2,8
977,강북,55,3,1,30
978,서초,189,3,3,11
979,강남,175,4,2,14
980,서초,155,1,2,23
981,기타,102,3,3,39
982,강남,94,1,1,15
983,마포,170,1,1,11
984,강북,134,4,1,29
985,강남,83,1,1,13
986,강북,54,5,2,
987,강남,171,1,1,21
988,강남,96,5,2,8
989,마포,70,5,1,24
990,마포,103,3,3,4
991,마포,146,4,,10
992,서초,196,5,3,22
993,마포,68,1,1,4
994,강남,71,2,1,14
995,강북,100,5,2,34
996,강남,60,1,1,26
997,강북,121,4,2,31
998,서초,146,1,2,6
999,마포,154,3,2,3
1000,강남,123,5,3,34
1001,마포,60,,1,5
1002,기타,196,5,3,19
1003,강북,131,2,3,39
1004,강남,103,3,1,33
1005,기타,141,3,2,13
1006,강남,70,5,2,27
1007,서초,192,5,3,8
1008,서초,53,5,2,12
1009,강북,114,3,2,37
1010,마포,152,3,2,26
1011,강북,180,3,3,25
1012,강남,199,2,1,25
1013,마포,143,5,2,36
1014,서초,124,2,2,1
1015,마포,153,1,1,36
1016,강남,192,4,3,
1017,강북,116,1,2,26
1018,마포,71,2,3,35
1019,강북,138,4,3,32
1020,마포,56,3,3,33
1021,강남,51,3,3,9
1022,서초,133,5,2,30
1023,기타,132,2,3,7
1024,서초,81,1,1,8
1025,강북,60,3,3,29
1026,기타,124,3,1,17
1027,마포,178,4,3,4
1028,강남,119,5,1,18
1029,강북,158,2,2,5
1030,마포,173,4,1,14
1031,강남,160,4,2,21
1032,강북,74,,2,27
1033,강남,103,3,1,28
1034,마포,154,3,2,
1035,마포,95,2,1,27
1036,마포,113,4,1,13
1037,강남,142,1,1,17
1038,기타,52,,3,8
1039,기타,66,3,1,38
1040,강북,109,4,2,12
1041,강북,74,5,2,26
1042,,53,2,1,1
1043,마포,74,5,1,35
1044,기타,133,3,2,35
1045,기타,88,5,3,34
1046,강남,155,5,2,9
1047,마포,135,4,2,2
1048,강남,151,3,1,27
1049,서초,63,2,2,8
1050,기타,149,5,3,15
1051,기타,107,1,2,5
1052,마포,104,4,1,3
1053,강북,192,5,1,22
1054,기타,125,4,3,2
1055,서초,130,2,3,28
1056,마포,91,5,2,20
1057,강북,145,4,1,39
1058,강남,125,2,3,5
1059,강북,118,2,1,0
1060,강북,54,1,3,23
1061,마포,185,5,2,4
1062,강북,126,2,2,5
1063,강북,101,1,1,11
1064,기타,157,4,1,28
1065,마포,186,5,1,35
1066,마포,120,3,2,13
1067,서초,60,5,,33
1068,마포,151,5,3,7
1069,서초,133,5,2,21
1070,서초,196,4,3,39
1071,서초,149,1,3,33
1072,강남,156,2,2,31
1073,강남,198,3,1,23
1074,,181,3,3,1
1075,강북,65,3,3,32
1076,마포,109,3,,23
1077,서초,103,1,2,15
