production_line,material_type,temp_sensor_1,pressure_sensor,humidity,vibration_sensor,processing_time_sec,power_consumption,operator_experience_years,yield_percentage
Line-B,Type-Y,109.3,49.51,56.72,1.0333,132.6,257.21,10.0,95.45
Line-B,Type-Y,101.25,50.92,61.95,0.5629,116.7,191.57,7.0,96.46
Line-B,Type-Y,103.53,50.23,39.59,0.9908,141.4,183.76,7.0,94.54
Line-B,Type-X,104.54,46.72,33.73,0.9613,138.0,191.98,8.0,94.52
Line-B,Type-Z,99.01,50.07,64.59,1.5409,141.3,216.72,1.0,93.44
Line-A,Type-Y,,49.6,68.62,1.0992,116.1,215.61,9.0,96.65
Line-B,Type-Y,104.03,49.26,52.65,1.1594,119.1,179.84,2.0,94.57
Line-B,Type-Z,101.71,51.27,56.98,1.164,123.4,207.14,4.0,93.63
Line-B,Type-Z,98.92,51.33,67.33,1.0693,111.5,231.45,9.0,94.02
Line-A,Type-Z,97.37,53.41,43.23,1.1196,114.7,196.5,3.0,93.32
Line-A,Type-Y,96.44,47.95,31.38,0.8048,104.9,163.31,7.0,95.06
Line-A,Type-X,107.13,49.27,55.47,0.6392,128.0,188.77,7.0,94.25
Line-B,Type-Y,106.21,50.87,30.95,0.7507,120.3,198.69,5.0,95.95
Line-B,Type-X,99.3,49.1,46.31,1.1228,124.7,214.62,6.0,94.87
Line-B,Type-Z,106.82,49.35,44.22,0.9871,115.3,184.09,7.0,92.13
Line-A,Type-Y,93.62,50.81,33.73,1.1653,118.4,201.86,8.0,95.67
Line-B,Type-Z,103.79,47.1,61.65,1.1888,123.8,176.64,2.0,93.23
Line-A,Type-X,108.84,47.19,45.69,0.7895,120.9,216.82,4.0,93.51
Line-A,Type-X,95.23,,46.48,0.8139,118.7,194.64,7.0,95.09
Line-A,Type-X,101.04,50.35,43.55,1.3326,115.2,190.99,9.0,96.22
Line-B,Type-Y,102.53,51.98,45.23,0.8739,131.6,172.09,9.0,95.75
Line-B,Type-Z,99.02,50.77,52.59,0.9419,119.3,174.67,7.0,94.54
Line-B,Type-Y,97.98,52.92,56.99,0.9902,103.8,148.02,4.0,93.87
Line-B,Type-X,94.11,50.87,53.57,0.8806,139.8,152.97,6.0,93.92
Line-B,Type-Z,105.62,49.24,44.56,1.038,134.5,207.94,8.0,94.1
Line-B,Type-Z,94.53,51.69,69.89,1.0138,113.9,192.04,1.0,93.4
Line-A,Type-Y,95.18,46.17,68.04,1.0398,124.4,207.14,7.0,95.07
Line-A,Type-Z,97.09,51.12,49.97,0.9233,111.9,143.6,6.0,93.91
Line-B,Type-Y,100.9,52.55,67.33,0.8944,117.6,222.42,6.0,95.11
Line-B,Type-Z,108.76,46.2,30.01,0.9946,119.0,163.85,3.0,92.58
Line-B,Type-X,94.8,50.45,37.79,1.1709,114.1,173.55,6.0,95.36
Line-A,Type-X,96.41,55.79,67.34,1.4289,110.8,203.52,7.0,93.21
Line-A,Type-X,102.13,51.63,60.54,1.0081,114.2,202.04,6.0,94.5
Line-B,Type-Y,98.69,49.2,,1.0573,116.8,188.8,10.0,96.13
Line-A,Type-Y,106.47,48.53,44.88,1.0398,118.2,148.04,2.0,94.69
Line-B,Type-Z,95.66,53.08,50.27,0.7647,,209.45,3.0,94.02
Line-B,Type-Z,98.91,51.32,45.67,0.706,100.8,233.92,10.0,93.98
Line-B,Type-Z,103.37,47.91,58.86,0.81,134.5,190.3,4.0,93.27
Line-A,Type-Z,92.43,53.11,70.0,1.2007,134.4,238.48,6.0,92.08
Line-A,Type-Z,95.9,46.58,48.43,0.9799,106.3,246.61,7.0,93.26
Line-B,Type-Y,94.6,,66.93,1.1534,118.8,183.42,10.0,95.53
Line-A,Type-X,101.98,,34.45,1.1387,,195.66,10.0,94.48
Line-A,Type-X,100.06,52.46,59.49,0.7758,110.6,215.61,4.0,94.09
Line-A,Type-X,100.53,49.2,45.74,0.9937,123.1,226.56,2.0,94.56
Line-B,Type-Y,98.7,48.19,62.89,0.8851,99.0,181.79,3.0,93.35
Line-A,Type-Z,107.51,47.41,38.72,0.7911,104.0,236.97,7.0,92.3
Line-B,Type-X,96.82,50.24,40.32,1.1632,128.7,240.19,7.0,95.19
Line-A,Type-X,100.41,51.56,62.72,1.0193,133.1,204.91,9.0,94.73
Line-A,Type-Y,107.78,49.4,43.68,0.7715,142.9,194.07,3.0,94.08
Line-A,Type-X,102.49,49.49,48.31,1.25,122.5,204.6,8.0,95.58
Line-B,Type-X,101.52,52.02,52.79,0.8582,135.3,193.69,8.0,94.35
Line-B,Type-Y,98.74,,36.87,0.9915,122.4,180.92,5.0,95.76
Line-B,Type-Y,103.47,51.47,43.5,0.7717,127.7,152.97,8.0,96.09
Line-B,Type-X,95.19,45.88,64.03,0.9856,117.0,200.18,10.0,94.1
Line-A,Type-Z,106.98,49.02,44.61,0.6529,128.8,230.9,6.0,93.31
Line-A,Type-X,101.38,52.56,63.88,1.0398,115.6,182.24,4.0,94.17
Line-A,Type-X,96.24,53.2,,1.2374,142.5,229.76,5.0,94.73
Line-A,Type-Y,101.14,52.82,48.62,0.9225,126.4,219.66,7.0,95.63
Line-A,Type-X,89.17,48.38,50.33,1.2136,127.6,199.63,9.0,95.59
Line-A,Type-X,92.83,49.29,59.04,1.3076,117.5,215.82,6.0,93.83
Line-B,Type-Y,90.08,52.25,50.65,0.6851,123.2,214.88,6.0,95.71
Line-B,Type-X,103.4,51.62,45.91,0.9721,,178.55,7.0,95.19
Line-A,Type-Z,94.22,50.79,38.41,1.4726,123.7,181.39,7.0,93.32
Line-A,Type-X,96.65,49.52,36.25,1.3752,116.3,200.66,4.0,95.12
Line-B,Type-Y,111.07,52.59,65.37,0.7067,136.3,228.07,8.0,94.51
Line-B,Type-X,103.62,51.68,43.29,0.9785,129.4,193.65,8.0,95.49
Line-B,Type-Y,104.75,48.9,64.9,0.8254,122.2,179.2,9.0,95.29
Line-B,Type-Z,101.44,53.12,46.89,0.8242,111.0,173.67,8.0,93.56
Line-B,Type-Z,105.21,48.44,68.97,1.0909,118.7,152.97,9.0,94.26
Line-B,Type-Y,99.65,46.27,45.92,0.9505,,230.44,8.0,95.42
Line-B,Type-Z,102.06,51.44,39.5,1.3924,109.6,194.11,3.0,93.85
Line-B,Type-Y,,48.31,50.49,0.8832,100.4,176.78,5.0,94.96
Line-B,Type-Z,98.76,48.33,54.7,1.0398,115.8,221.96,8.0,93.38
Line-B,Type-X,94.66,49.87,55.33,1.1699,123.0,207.9,1.0,93.38
Line-A,Type-Y,102.73,52.51,47.75,1.1172,98.7,175.99,10.0,94.84
Line-B,Type-X,112.35,47.87,64.18,0.9759,126.0,215.69,1.0,93.07
Line-B,Type-X,105.37,52.67,35.74,0.7735,104.7,190.02,7.0,93.07
Line-B,Type-X,102.05,48.59,61.13,1.0791,122.2,167.62,8.0,95.6
Line-B,Type-Y,100.57,46.14,47.36,0.9772,111.9,204.06,8.0,95.81
Line-A,Type-X,106.68,50.13,35.52,0.8033,122.3,215.39,8.0,94.63
Line-A,Type-X,98.7,48.48,67.23,0.8315,119.0,173.26,7.0,95.76
Line-B,Type-Y,106.81,48.15,34.89,1.2023,93.9,185.63,4.0,94.64
Line-B,Type-Z,98.32,49.62,69.94,0.9136,98.6,190.76,7.0,92.44
Line-A,Type-X,93.83,,40.46,1.4228,121.8,185.05,8.0,94.9
Line-B,Type-Z,102.22,51.24,52.97,1.1673,134.4,193.01,6.0,93.53
Line-B,Type-Y,93.0,51.01,65.6,0.9641,109.4,216.73,2.0,94.89
Line-B,Type-Z,101.38,49.38,41.58,0.3442,112.5,228.59,10.0,93.97
Line-B,Type-Z,98.61,52.93,,1.006,124.3,180.38,4.0,93.74
Line-B,Type-Z,92.79,50.88,,0.8964,129.5,177.21,8.0,94.05
Line-A,Type-Y,98.49,48.58,32.1,1.0834,106.7,205.43,6.0,95.52
Line-A,Type-Z,99.24,48.74,60.0,0.9597,123.9,196.48,6.0,93.48
Line-B,Type-Z,90.46,46.95,54.0,1.0615,131.9,182.44,10.0,92.54
Line-B,Type-Z,106.57,50.87,57.44,1.2226,117.0,182.39,4.0,93.25
Line-B,Type-Z,,48.88,59.39,1.0788,134.2,203.36,6.0,92.16
Line-B,Type-Y,97.78,50.5,60.02,0.6528,119.8,157.9,3.0,96.37
Line-B,Type-Z,97.5,49.3,46.5,0.7099,110.2,184.79,1.0,93.08
Line-B,Type-Z,94.47,51.06,32.1,1.2946,111.1,190.69,1.0,92.76
Line-B,Type-Z,86.09,51.45,35.14,0.822,120.5,237.55,3.0,92.14
Line-B,Type-Y,99.24,55.44,67.0,0.9526,111.9,163.94,9.0,95.28
Line-B,Type-Y,105.25,50.71,56.21,1.604,105.9,194.15,2.0,94.74
Line-B,Type-Z,100.94,50.91,60.07,1.0398,110.1,204.27,7.0,93.27
Line-B,Type-Y,93.85,50.37,45.55,0.9202,113.4,210.48,1.0,94.64
Line-B,Type-Y,102.81,50.53,65.9,1.0398,125.2,193.41,8.0,95.71
Line-B,Type-X,100.24,51.91,36.31,0.8771,,198.25,8.0,94.95
Line-A,Type-Y,101.71,49.46,49.08,1.2934,135.9,192.38,2.0,95.17
Line-B,Type-Z,98.94,49.43,31.31,1.2579,110.3,193.21,5.0,94.33
Line-B,Type-X,96.15,48.74,32.25,1.0398,114.8,214.05,2.0,94.21
Line-A,Type-Y,104.86,51.86,50.87,0.662,116.4,201.7,6.0,95.22
Line-A,Type-X,106.93,51.24,31.57,1.3075,131.6,186.74,3.0,93.81
Line-A,Type-Y,97.27,48.4,39.14,0.9484,115.2,245.13,2.0,96.21
Line-B,Type-Z,103.24,49.13,69.22,0.9372,101.5,203.57,6.0,92.85
Line-A,Type-X,92.87,50.04,56.43,0.9274,116.8,207.98,5.0,94.25
Line-A,Type-X,85.55,48.63,68.32,1.2608,,189.97,2.0,92.32
Line-B,Type-Z,100.11,51.58,37.89,0.9161,120.8,200.64,2.0,93.84
Line-B,Type-X,92.8,49.63,62.49,1.2481,127.2,205.71,9.0,94.75
Line-A,Type-Z,99.95,49.98,44.69,1.2337,115.7,205.19,6.0,94.42
Line-B,Type-Z,90.28,50.69,69.66,0.7045,115.8,174.73,1.0,92.36
Line-B,Type-X,99.73,48.76,50.84,1.5021,117.1,200.18,6.0,95.6
Line-B,Type-Y,102.17,49.04,32.2,0.7301,120.0,177.92,1.0,95.56
Line-A,Type-Y,103.42,48.23,55.7,0.9588,102.1,212.16,6.0,95.3
Line-B,Type-Y,101.65,53.75,57.47,1.1213,113.8,210.71,9.0,95.16
Line-B,Type-X,96.82,50.63,31.29,1.2805,115.5,202.26,3.0,93.64
Line-B,Type-Z,101.7,48.49,52.89,0.8319,120.0,152.97,3.0,92.89
Line-A,Type-Z,95.94,48.57,67.55,0.9841,128.6,212.1,8.0,93.92
Line-A,Type-Z,97.42,49.6,68.6,0.8078,114.2,190.63,5.0,94.9
Line-B,Type-Z,91.66,53.27,59.73,0.9302,122.1,200.79,2.0,92.29
Line-B,Type-X,103.82,54.0,38.07,0.9409,123.5,214.35,7.0,93.84
Line-A,Type-X,95.06,52.17,47.55,0.9244,125.0,196.58,8.0,94.36
Line-B,Type-Z,98.84,48.22,51.54,0.7604,126.3,212.8,10.0,94.41
Line-B,Type-Y,92.78,47.57,60.76,0.841,127.5,194.24,6.0,95.09
Line-A,Type-X,93.95,49.76,41.0,0.9468,128.2,187.2,5.0,94.8
Line-B,Type-Y,103.95,48.02,66.43,1.2918,130.0,216.23,9.0,95.55
Line-A,Type-Y,94.02,46.76,31.81,1.0734,137.1,185.19,7.0,94.21
Line-A,Type-Z,,45.98,59.91,1.1174,114.0,152.97,9.0,93.53
Line-A,Type-X,97.39,51.91,54.43,0.658,112.7,221.45,10.0,95.12
Line-B,Type-Y,105.06,49.18,39.99,0.6618,121.2,174.07,7.0,96.12
Line-B,Type-Y,98.0,52.38,49.56,1.1036,115.9,167.36,6.0,95.51
Line-B,Type-X,107.05,49.95,30.67,1.0975,114.9,209.57,9.0,94.59
Line-A,Type-X,94.49,53.06,67.16,0.989,116.2,191.41,2.0,94.31
Line-A,Type-Y,104.14,50.02,40.02,1.0398,130.6,188.86,3.0,95.9
Line-A,Type-Y,98.93,51.77,65.32,0.6298,136.1,207.52,3.0,94.77
Line-A,Type-Y,96.46,49.2,32.44,0.7014,108.4,168.0,7.0,95.15
Line-A,Type-X,100.58,51.01,62.75,0.8847,123.4,238.07,3.0,94.87
Line-B,Type-Z,104.73,52.75,48.76,1.1306,109.5,201.3,9.0,93.47
Line-B,Type-X,95.56,52.05,42.46,1.0336,119.4,221.68,7.0,94.57
Line-A,Type-Y,91.59,52.27,,0.9049,119.4,242.97,3.0,94.88
Line-B,Type-X,103.75,53.4,65.55,1.0972,137.8,200.48,10.0,94.12
Line-A,Type-X,98.26,48.67,39.78,1.133,143.9,234.79,6.0,93.43
Line-B,Type-Y,96.46,48.55,60.26,0.6382,106.9,171.44,4.0,94.24
Line-A,Type-X,103.61,48.52,53.32,1.0463,120.0,187.41,4.0,94.87
Line-A,Type-X,97.06,53.72,48.32,0.7822,107.6,220.02,6.0,94.26
Line-A,Type-Y,97.92,53.5,40.27,1.1383,126.7,193.32,8.0,94.74
Line-A,Type-X,100.88,49.69,37.9,1.0587,117.5,178.89,1.0,95.3
Line-B,Type-Z,102.12,49.32,42.03,0.6884,113.0,211.42,7.0,93.65
Line-A,Type-Z,98.84,52.74,43.72,0.9822,110.8,201.38,2.0,93.47
Line-A,Type-Y,101.11,50.43,46.01,1.0983,141.8,212.3,8.0,95.74
Line-B,Type-X,102.77,53.11,32.92,0.9116,119.6,186.72,8.0,94.94
Line-B,Type-Z,102.42,47.22,59.06,1.0398,131.7,218.86,4.0,93.28
Line-B,Type-Y,102.79,48.98,53.47,1.1378,125.6,206.04,3.0,95.79
Line-B,Type-Z,96.98,51.38,51.96,1.2097,116.0,176.38,3.0,94.15
Line-A,Type-Z,106.57,51.83,65.01,1.1908,114.8,190.08,5.0,93.18
Line-A,Type-Y,92.9,48.88,63.07,1.2443,128.2,212.5,4.0,94.95
Line-A,Type-X,102.29,50.16,31.88,0.9035,113.1,200.1,7.0,96.45
Line-A,Type-Y,89.3,47.23,53.04,0.9221,110.5,158.0,1.0,94.29
Line-B,Type-X,106.7,45.57,46.78,0.6508,106.9,208.83,8.0,93.5
Line-B,Type-X,102.72,47.11,54.62,0.7116,97.3,181.71,8.0,93.56
Line-A,Type-Z,109.39,52.37,,1.1585,118.2,152.97,1.0,93.6
Line-B,Type-Y,108.22,50.95,69.5,0.8515,121.3,204.49,8.0,95.44
Line-A,Type-X,88.75,46.41,43.9,0.6897,127.2,199.46,9.0,93.16
Line-A,Type-X,103.97,52.76,39.14,1.2837,115.0,219.63,3.0,94.67
Line-A,Type-Z,91.63,45.16,30.18,0.9258,132.9,226.46,5.0,91.85
Line-B,Type-Z,97.66,50.81,30.99,1.0614,110.2,179.42,5.0,94.28
Line-A,Type-Z,96.8,51.33,43.77,1.0162,138.2,192.46,8.0,92.3
Line-B,Type-X,99.74,45.87,64.48,0.8668,120.4,180.84,6.0,94.85
Line-B,Type-X,104.85,48.71,66.2,1.0288,130.7,229.25,2.0,93.64
Line-B,Type-X,98.21,51.87,40.87,1.5127,99.4,188.0,4.0,93.47
Line-A,Type-Z,94.94,50.45,59.74,0.8292,122.7,220.44,10.0,93.7
Line-A,Type-X,96.53,51.22,46.44,1.0306,117.3,227.12,8.0,94.41
Line-B,Type-Y,96.72,50.82,69.12,0.9959,110.2,240.88,8.0,95.9
Line-B,Type-Y,100.61,48.9,31.12,0.8105,106.8,206.79,3.0,95.67
Line-A,Type-Y,97.06,49.9,50.22,1.3023,132.3,203.82,3.0,95.29
Line-A,Type-X,99.14,49.45,52.97,0.5824,116.7,209.23,10.0,94.95
Line-B,Type-Y,101.8,50.84,50.36,0.8849,122.2,188.08,7.0,95.33
Line-A,Type-Z,102.95,50.0,36.93,0.6361,134.3,178.24,1.0,92.16
Line-B,Type-Y,104.84,47.37,40.2,1.0308,133.6,190.12,1.0,94.96
Line-B,Type-Y,99.1,49.89,63.05,1.0969,113.1,222.43,2.0,96.06
Line-A,Type-X,97.73,,46.41,0.9185,115.3,213.66,7.0,95.43
Line-B,Type-Z,101.31,45.78,55.25,0.9771,107.7,212.33,9.0,93.5
Line-B,Type-Y,95.28,49.95,68.17,1.0062,120.9,175.04,10.0,97.22
Line-A,Type-Y,95.13,51.91,31.44,0.7793,109.1,236.14,4.0,95.45
Line-B,Type-Y,109.98,52.55,68.56,1.1251,118.7,184.04,3.0,94.89
Line-A,Type-X,89.04,47.96,53.71,1.1983,116.1,195.63,7.0,94.23
Line-A,Type-Z,104.81,51.39,,1.1306,102.1,131.04,3.0,92.28
Line-A,Type-Y,101.48,50.51,39.14,1.2214,123.7,207.82,3.0,96.27
Line-A,Type-Y,101.71,49.51,43.2,1.2562,106.2,182.81,4.0,95.45
Line-B,Type-X,93.16,51.57,54.16,1.5727,120.1,207.74,3.0,94.04
Line-A,Type-X,98.08,47.95,47.03,0.9706,112.3,207.4,9.0,94.96
Line-B,Type-Y,95.17,50.16,68.59,0.896,111.3,197.57,3.0,96.03
Line-A,Type-Z,87.5,49.86,32.24,1.2234,127.0,186.45,8.0,92.75
Line-B,Type-X,94.94,50.38,60.91,1.1911,108.6,220.53,2.0,94.48
Line-B,Type-Z,104.14,47.1,42.42,0.7993,126.0,189.04,6.0,93.68
Line-A,Type-Y,94.26,,68.71,0.8086,118.0,212.8,4.0,94.66
Line-A,Type-Z,102.09,47.51,60.04,0.6467,125.5,193.22,6.0,93.52
Line-A,Type-Y,93.64,48.56,68.52,0.6549,117.9,197.15,7.0,95.38
Line-A,Type-Y,96.56,51.46,30.82,1.272,136.4,165.86,6.0,94.77
Line-A,Type-Z,94.12,50.41,40.0,1.0443,124.4,175.74,4.0,93.06
Line-B,Type-Z,103.01,46.37,68.56,0.8736,125.3,224.95,2.0,92.31
Line-A,Type-Y,100.75,50.7,47.61,1.0207,,206.56,9.0,96.08
Line-A,Type-Z,99.41,49.19,60.86,1.174,,159.23,2.0,93.07
Line-A,Type-X,90.14,48.92,41.31,0.968,121.7,196.95,9.0,94.64
Line-B,Type-Y,97.97,45.43,68.32,1.1151,103.0,184.06,1.0,93.59
Line-A,Type-X,96.58,50.82,38.27,1.068,119.6,214.62,9.0,95.29
Line-A,Type-X,98.47,49.16,49.38,1.1807,134.1,174.37,1.0,94.94
Line-A,Type-Y,93.88,52.88,41.01,0.9578,131.0,196.11,6.0,95.97
Line-A,Type-Y,104.94,52.25,43.39,0.8921,109.5,221.26,10.0,95.12
Line-B,Type-X,102.29,49.03,31.54,0.5168,119.9,223.84,6.0,96.04
Line-A,Type-Y,98.56,,43.29,0.8525,103.8,183.35,7.0,95.61
Line-B,Type-X,93.97,51.01,55.74,1.3799,,193.05,7.0,93.72
Line-A,Type-X,95.29,52.73,48.71,1.347,115.2,174.88,3.0,94.74
Line-B,Type-X,113.66,50.18,33.0,1.2143,106.4,209.83,10.0,93.75
Line-A,Type-Y,89.29,53.55,42.15,1.0913,107.2,159.96,4.0,94.37
Line-A,Type-X,101.01,51.07,33.61,1.2512,126.9,248.7,2.0,94.29
Line-A,Type-X,92.26,52.54,50.91,1.2001,106.4,200.66,6.0,93.15
Line-A,Type-Z,93.66,48.69,68.73,0.5298,136.8,163.93,5.0,93.97
Line-B,Type-X,105.21,47.72,30.33,0.9441,102.2,173.97,10.0,94.31
Line-B,Type-Z,101.57,45.95,44.13,1.0481,127.2,196.22,1.0,92.41
Line-B,Type-X,92.73,50.72,67.41,0.9275,130.1,162.3,7.0,94.51
Line-B,Type-Z,103.97,,60.41,0.729,114.2,180.35,1.0,93.08
Line-B,Type-X,107.77,51.65,54.73,1.2689,120.7,156.4,7.0,93.95
Line-A,Type-Y,102.49,,46.83,0.8092,131.5,201.71,8.0,95.63
Line-A,Type-X,94.94,46.64,39.04,0.8511,99.8,193.99,9.0,93.71
Line-B,Type-Y,95.8,52.38,46.69,1.0399,129.2,235.65,9.0,95.34
Line-B,Type-X,106.33,47.19,35.63,1.2501,120.1,213.71,6.0,95.0
Line-A,Type-Z,99.61,51.03,53.8,1.0912,112.8,191.56,1.0,93.84
Line-B,Type-Z,100.38,49.99,32.58,1.0087,114.9,152.97,9.0,94.22
Line-B,Type-Y,95.39,50.41,35.28,0.7177,119.8,189.0,4.0,96.22
Line-B,Type-X,105.14,51.07,33.46,0.9916,119.6,205.66,1.0,94.54
Line-B,Type-Z,100.5,52.9,69.83,1.0116,127.0,193.2,2.0,93.33
Line-B,Type-Z,101.63,49.23,46.63,1.1506,116.0,211.83,9.0,94.9
Line-A,Type-Z,102.54,54.69,60.32,1.0639,126.8,210.43,5.0,92.69
Line-B,Type-X,92.88,48.2,40.06,0.9277,117.4,173.57,5.0,95.45
Line-A,Type-Y,104.91,49.28,36.16,0.6434,105.9,181.29,10.0,95.34
Line-A,Type-Y,104.52,51.7,47.45,0.9859,112.5,210.94,7.0,95.21
Line-B,Type-Z,102.24,46.33,45.83,0.6182,119.5,211.09,10.0,94.3
Line-B,Type-Z,104.43,49.21,34.2,0.7316,123.0,197.86,4.0,94.22
Line-A,Type-Y,97.28,46.18,44.8,0.7791,125.8,206.78,3.0,94.62
Line-A,Type-Y,91.2,46.73,48.46,0.8057,125.4,216.53,9.0,94.34
