production_line,shift,operator_experience_years,processing_time_min,temperature,humidity,measurement_A,measurement_B,measurement_C,defect_status
Line-3,야간,0.0,20.9,25.6,26.7,95.28,192.37,52.3,0
Line-2,야간,2.0,31.7,29.5,42.8,88.96,182.72,41.01,0
Line-2,주간,6.0,26.9,25.4,51.8,105.9,164.71,42.03,0
Line-3,주간,12.0,38.7,17.3,60.3,125.4,210.14,53.27,0
Line-3,야간,0.0,38.4,28.5,63.6,123.48,239.51,52.94,1
Line-1,야간,9.0,27.2,26.6,58.3,84.02,194.49,49.06,0
Line-3,주간,7.0,32.7,22.5,45.7,111.32,166.65,54.42,0
Line-1,주간,,30.5,26.4,34.7,98.9,222.72,51.0,0
Line-1,야간,15.0,28.6,26.4,35.9,84.22,217.57,48.05,0
Line-1,야간,8.0,27.2,27.2,47.3,96.01,214.71,50.06,0
Line-1,주간,7.0,36.3,29.6,54.3,89.49,217.25,55.23,0
Line-2,야간,0.0,27.9,28.9,35.4,104.52,216.22,51.4,0
Line-2,주간,15.0,,20.0,65.6,94.3,219.57,57.02,0
Line-1,야간,7.0,24.1,26.8,23.3,84.51,240.5,60.38,0
Line-2,야간,14.0,30.8,27.0,39.2,86.5,199.28,49.3,0
Line-1,야간,6.0,27.6,23.7,44.8,87.12,168.06,44.08,0
Line-3,주간,14.0,34.4,26.5,55.4,118.35,187.43,48.25,0
Line-3,야간,11.0,37.9,24.8,51.4,89.12,188.48,51.16,0
Line-1,주간,,25.6,26.3,59.9,96.38,218.44,55.41,0
Line-3,주간,1.0,22.8,25.1,38.1,91.05,213.21,53.94,0
Line-2,야간,6.0,25.1,26.8,52.4,107.3,186.61,46.92,0
Line-1,야간,6.0,30.3,26.0,41.6,102.35,204.53,55.48,0
Line-1,야간,7.0,26.4,29.4,70.1,94.1,241.29,48.05,0
Line-3,야간,2.0,23.6,27.2,53.7,104.66,172.58,60.24,0
Line-2,주간,13.0,31.3,26.3,57.3,105.56,178.65,48.78,0
Line-1,주간,5.0,30.0,21.3,60.5,89.49,220.3,51.55,0
Line-1,야간,,31.3,27.2,51.9,97.74,192.04,42.94,0
Line-1,야간,14.0,31.8,20.6,51.4,112.59,241.79,50.8,0
Line-2,주간,12.0,29.2,23.4,55.0,98.37,180.99,43.08,0
Line-1,야간,8.0,24.4,26.6,55.9,100.54,196.76,56.36,0
Line-1,야간,14.0,37.3,24.1,46.6,100.47,178.48,51.17,0
Line-1,주간,8.0,25.0,22.4,53.8,114.7,204.72,53.53,0
Line-2,주간,9.0,35.5,21.3,59.2,104.79,194.84,48.48,0
Line-1,야간,2.0,32.2,23.0,45.4,114.75,165.92,45.1,0
Line-1,야간,8.0,28.8,30.2,59.4,98.75,172.37,42.29,0
Line-3,야간,1.0,30.8,20.9,44.6,99.4,182.78,57.86,0
Line-1,야간,2.0,29.4,25.2,47.9,97.94,199.16,40.82,0
Line-1,주간,7.0,47.1,20.4,34.8,104.07,229.31,49.71,0
Line-1,주간,13.0,25.6,27.7,51.9,99.28,200.7,50.71,0
Line-2,야간,5.0,24.2,27.0,51.9,109.97,207.1,47.23,0
Line-1,야간,14.0,31.1,25.9,35.3,89.49,205.06,50.84,0
Line-2,야간,15.0,37.4,22.4,23.2,112.58,187.73,53.31,0
Line-2,야간,1.0,,22.5,41.3,101.33,202.95,50.41,0
Line-3,야간,13.0,36.8,23.9,58.9,100.26,201.83,48.38,0
Line-3,주간,4.0,21.1,25.5,41.1,109.86,158.28,46.66,0
Line-1,야간,8.0,30.6,20.3,48.0,113.73,207.98,50.88,0
Line-1,야간,7.0,26.0,23.7,61.7,109.02,216.08,44.73,0
Line-3,주간,0.0,37.4,25.4,29.4,92.83,215.35,47.63,0
Line-2,야간,0.0,33.7,25.0,51.1,97.54,222.82,57.0,0
Line-2,야간,7.0,25.0,28.3,51.9,109.23,220.63,47.21,0
Line-3,주간,13.0,33.0,27.7,70.1,85.19,261.42,46.25,0
Line-3,야간,2.0,20.8,32.5,57.6,108.07,192.17,53.34,0
Line-3,야간,4.0,33.6,33.6,52.4,89.82,153.24,50.64,0
Line-1,주간,15.0,32.4,26.4,52.4,98.37,192.37,44.47,0
Line-2,야간,7.0,28.8,22.6,31.1,99.49,217.45,37.13,0
Line-3,주간,7.0,30.7,30.1,48.1,101.95,160.66,48.47,0
Line-1,주간,9.0,33.8,26.5,61.5,104.46,231.04,49.9,0
Line-3,야간,8.0,31.2,23.1,42.1,108.21,219.6,48.52,0
Line-2,주간,9.0,29.8,23.7,41.3,101.92,196.35,48.07,0
Line-1,주간,6.0,29.8,26.2,61.1,85.74,160.58,45.11,0
Line-2,야간,3.0,31.5,27.8,49.0,111.25,224.0,54.18,0
Line-2,야간,15.0,45.1,22.6,45.6,91.5,203.91,51.07,0
Line-1,주간,7.0,27.6,23.9,64.6,101.83,157.64,45.8,0
Line-3,야간,3.0,29.6,26.4,47.6,94.15,205.4,54.85,0
Line-1,야간,4.0,27.1,23.1,52.4,95.4,192.37,42.66,0
Line-1,주간,3.0,30.6,23.9,30.2,98.5,204.46,45.52,0
Line-3,야간,4.0,29.6,26.4,48.1,106.68,170.78,50.65,0
Line-1,주간,12.0,25.0,25.0,54.6,100.03,187.59,38.43,0
Line-3,야간,1.0,34.9,23.0,39.5,95.92,217.82,57.69,0
Line-1,야간,8.0,25.7,27.6,58.4,88.72,207.75,44.08,0
Line-1,주간,13.0,30.8,32.5,44.0,100.23,176.85,53.34,0
Line-3,야간,4.0,27.3,25.1,40.8,101.79,214.2,47.27,0
Line-1,야간,9.0,24.3,19.1,51.9,103.19,244.3,51.62,0
Line-2,주간,4.0,25.2,28.6,58.8,88.03,226.68,51.37,0
Line-2,주간,1.0,31.2,22.7,52.7,79.54,214.89,48.83,0
Line-1,주간,0.0,22.7,23.1,34.7,103.28,208.67,42.12,0
Line-1,주간,2.0,27.0,20.5,53.2,104.1,183.34,53.49,0
Line-2,주간,2.0,27.4,26.5,61.5,100.88,213.04,45.51,0
Line-3,주간,13.0,28.6,29.8,52.1,105.14,165.54,34.8,0
Line-2,주간,10.0,19.1,25.8,32.9,97.56,218.82,55.67,0
Line-1,야간,5.0,31.3,28.5,51.2,109.96,179.58,49.03,0
Line-2,주간,12.0,25.4,28.4,27.4,78.52,222.97,44.73,0
Line-1,야간,15.0,33.0,30.5,51.4,98.5,224.92,51.29,0
Line-1,야간,10.0,,22.6,49.5,88.54,185.61,49.97,0
Line-1,주간,8.0,23.1,27.6,40.5,103.88,179.52,55.75,0
Line-2,주간,1.0,23.0,25.0,60.4,98.79,188.47,42.84,0
Line-1,야간,9.0,30.9,21.0,38.1,101.61,196.09,48.7,0
Line-2,야간,8.0,38.0,25.5,49.4,85.97,197.89,48.05,0
Line-3,주간,9.0,28.4,24.3,40.2,101.63,226.34,44.93,0
Line-1,야간,7.0,23.0,28.2,46.4,98.06,189.42,54.07,0
Line-3,야간,2.0,33.8,22.2,51.7,95.39,182.24,50.53,0
Line-2,주간,12.0,38.8,21.5,58.6,95.22,180.26,52.35,0
Line-2,야간,12.0,37.8,26.2,79.2,96.68,223.34,41.72,0
Line-3,야간,2.0,24.7,29.2,40.9,104.06,172.76,44.73,0
Line-3,야간,5.0,23.7,24.1,61.0,96.05,223.09,50.32,0
Line-3,야간,15.0,25.2,30.0,59.0,102.41,181.64,52.81,0
Line-2,야간,9.0,31.5,18.5,62.4,93.18,161.87,55.91,0
Line-1,야간,4.0,26.9,21.8,45.0,95.06,185.34,49.06,0
Line-1,야간,10.0,31.8,25.9,41.5,93.76,193.25,49.33,0
Line-1,야간,0.0,27.8,22.2,41.6,101.42,223.14,52.36,0
Line-2,주간,7.0,32.7,21.2,59.0,86.39,192.37,46.12,0
Line-2,야간,9.0,32.3,24.7,62.5,104.77,191.47,48.26,0
Line-3,주간,7.0,28.5,22.7,52.7,91.17,191.1,51.21,0
Line-1,야간,11.0,22.9,20.0,51.0,99.52,202.67,44.0,0
Line-1,주간,6.0,33.6,27.0,44.3,109.56,185.31,51.42,0
Line-1,야간,12.0,32.2,24.5,40.0,103.32,214.54,50.19,0
Line-1,야간,0.0,30.7,21.6,53.1,87.29,193.09,46.67,0
Line-1,야간,9.0,34.0,27.0,33.4,116.63,173.99,52.45,0
Line-2,야간,9.0,28.0,26.4,64.1,119.25,196.58,53.57,0
Line-1,야간,9.0,27.8,24.2,40.8,119.53,187.57,36.5,0
Line-3,야간,2.0,31.7,26.4,77.3,101.21,198.31,54.17,0
Line-1,주간,8.0,38.6,21.5,38.7,110.8,193.12,42.45,0
Line-1,주간,13.0,,25.6,41.0,109.73,203.41,56.15,0
Line-2,야간,10.0,22.7,28.0,52.8,116.31,209.19,61.41,0
Line-2,야간,10.0,26.0,26.4,52.7,99.07,176.33,44.73,0
Line-1,야간,9.0,33.8,27.7,40.3,85.26,225.15,39.86,0
Line-3,주간,0.0,30.4,21.1,51.9,101.05,182.65,46.18,0
Line-1,야간,8.0,39.0,27.9,59.0,99.43,187.27,45.06,0
Line-3,주간,6.0,33.5,26.8,54.6,94.48,243.93,53.73,0
Line-2,야간,5.0,28.5,27.5,51.2,106.04,177.1,50.68,0
Line-1,야간,9.0,23.5,21.3,57.0,95.37,188.0,58.05,0
Line-3,야간,9.0,30.2,23.9,47.2,97.37,233.76,40.79,0
Line-2,야간,13.0,33.0,29.9,45.1,105.24,164.96,50.37,0
Line-3,야간,10.0,22.9,27.1,60.0,114.78,217.25,49.97,0
Line-3,야간,10.0,27.5,22.4,34.7,109.42,211.22,54.04,0
Line-2,야간,11.0,27.4,22.1,56.3,87.04,202.05,55.66,0
Line-2,주간,15.0,24.5,27.8,59.4,116.39,188.56,49.17,0
Line-3,야간,11.0,39.4,26.7,42.4,105.93,216.0,50.36,0
Line-3,주간,10.0,36.6,27.9,61.9,112.96,200.49,46.76,0
Line-1,야간,11.0,28.4,21.9,56.6,116.79,200.27,42.52,0
Line-2,주간,10.0,34.5,28.9,53.1,92.13,234.54,49.96,0
Line-1,주간,1.0,31.0,24.4,54.9,89.62,216.74,56.35,0
Line-3,주간,8.0,26.7,24.7,44.2,105.2,196.75,47.22,0
Line-2,주간,5.0,28.8,22.3,48.5,103.15,188.15,58.52,0
Line-3,야간,8.0,28.4,28.2,53.1,92.64,220.54,49.99,0
Line-1,주간,12.0,30.5,26.4,52.8,118.29,197.63,52.91,0
Line-3,주간,10.0,22.5,27.8,54.0,97.98,216.47,44.73,0
Line-3,주간,6.0,19.6,21.7,41.1,94.22,186.08,53.33,0
Line-1,주간,11.0,24.3,25.4,37.5,105.5,201.55,45.69,0
Line-2,야간,0.0,22.6,20.8,57.8,96.19,191.32,50.25,0
Line-3,주간,2.0,22.6,21.8,49.4,93.54,198.1,60.27,0
Line-2,야간,12.0,30.7,27.6,50.5,88.35,193.13,51.96,0
Line-3,야간,4.0,28.2,19.1,42.4,107.39,218.9,49.22,0
Line-1,주간,9.0,32.0,23.9,51.9,94.27,183.79,45.25,0
Line-1,야간,15.0,33.3,21.7,51.9,91.88,195.34,51.56,0
Line-2,주간,7.0,34.6,27.6,67.1,97.99,204.69,59.94,0
Line-3,주간,14.0,21.9,24.9,56.1,102.48,202.24,46.22,0
Line-3,주간,13.0,32.8,30.3,51.9,93.3,209.23,43.39,0
Line-3,야간,11.0,17.4,25.9,53.9,83.3,175.18,51.25,0
Line-1,주간,4.0,31.5,25.0,51.7,99.24,221.61,43.35,0
Line-3,야간,0.0,31.4,26.1,40.3,100.31,237.29,53.71,0
Line-2,야간,2.0,27.4,23.9,39.7,97.58,190.93,46.78,0
Line-3,주간,4.0,27.6,25.3,59.9,104.86,151.63,45.24,0
Line-1,야간,6.0,35.7,23.6,47.2,103.43,177.18,43.05,0
Line-1,주간,7.0,27.8,27.3,55.0,84.94,214.36,46.03,0
Line-2,야간,1.0,22.2,18.1,57.3,118.94,211.79,57.27,0
Line-2,주간,0.0,28.3,24.0,48.1,89.49,199.4,49.01,0
Line-1,야간,0.0,39.1,22.7,57.1,108.9,163.9,40.15,0
Line-3,야간,,26.8,26.9,53.0,87.52,210.02,47.1,0
Line-1,야간,3.0,31.0,22.7,56.5,110.49,171.73,52.37,0
Line-2,야간,10.0,34.2,29.4,51.9,107.81,205.22,52.62,0
Line-1,주간,2.0,31.6,19.0,39.9,105.96,208.01,56.27,0
Line-1,야간,8.0,36.7,28.3,47.3,93.11,191.59,53.43,0
Line-1,야간,8.0,37.2,24.7,44.9,104.73,201.48,44.89,0
Line-2,야간,14.0,35.3,26.7,40.5,91.66,222.1,60.52,0
Line-1,주간,0.0,26.1,24.2,50.5,108.63,246.54,49.15,0
Line-3,주간,8.0,28.5,25.8,32.2,89.48,233.29,46.45,0
Line-3,주간,0.0,25.3,25.8,59.3,104.0,194.16,44.56,0
Line-1,주간,15.0,33.8,29.2,51.7,99.76,174.45,52.84,0
Line-2,주간,13.0,28.5,18.1,61.4,105.66,191.85,47.91,0
Line-3,야간,6.0,31.5,27.6,41.0,97.49,209.55,46.83,0
Line-2,야간,12.0,33.2,24.5,48.6,123.42,202.96,48.08,0
Line-3,주간,6.0,21.5,22.2,37.3,101.04,181.18,48.0,0
Line-2,야간,5.0,27.3,29.4,34.6,90.7,198.12,44.11,0
Line-3,야간,6.0,22.7,27.4,63.7,110.23,207.1,50.51,0
Line-2,야간,15.0,28.9,28.0,42.6,89.49,190.31,53.41,0
Line-2,야간,,26.6,24.1,48.5,111.82,184.37,50.18,0
Line-3,주간,10.0,35.3,28.4,68.1,111.63,204.9,49.55,0
Line-3,주간,15.0,22.4,33.7,44.6,86.15,193.34,55.25,0
Line-3,주간,5.0,30.7,27.0,49.9,102.5,182.56,49.66,0
Line-3,야간,9.0,28.0,25.3,56.9,96.67,230.71,54.66,0
Line-3,주간,10.0,36.4,27.3,52.3,92.61,195.4,49.78,0
Line-2,주간,8.0,27.4,23.2,39.1,101.72,194.11,50.87,0
Line-2,야간,2.0,28.8,20.3,43.7,106.12,221.65,50.9,0
Line-1,야간,1.0,20.8,30.0,66.1,81.94,213.33,42.65,0
Line-2,주간,11.0,33.6,25.0,50.5,104.35,194.32,51.06,0
Line-2,야간,13.0,38.8,33.4,62.8,97.93,222.7,49.27,0
Line-1,야간,7.0,33.5,23.6,46.7,94.19,240.2,48.21,0
Line-3,야간,13.0,29.5,28.1,51.9,113.89,221.33,44.27,0
Line-3,주간,12.0,26.6,28.1,48.3,100.55,188.3,50.77,0
Line-2,주간,13.0,37.5,28.5,43.3,95.89,218.95,43.57,0
Line-1,야간,0.0,24.8,25.2,54.5,93.24,198.29,50.51,0
Line-2,주간,6.0,28.4,26.4,47.8,114.73,204.75,46.39,0
Line-1,주간,4.0,28.9,25.9,55.8,93.92,203.03,55.22,0
Line-3,야간,2.0,33.1,27.6,61.4,94.41,215.06,48.09,0
Line-1,야간,0.0,23.3,27.2,46.7,82.68,231.62,54.65,0
Line-2,주간,4.0,22.9,23.7,53.4,119.7,184.89,48.14,0
Line-2,야간,12.0,21.0,26.1,46.7,91.53,180.64,48.15,0
Line-3,주간,,30.4,27.7,29.1,100.54,198.14,52.72,0
Line-1,주간,1.0,28.2,30.9,52.7,76.07,222.88,45.2,0
Line-3,주간,3.0,26.7,21.9,53.9,89.49,217.36,49.17,0
Line-2,야간,7.0,36.7,23.0,45.4,81.09,207.44,54.1,0
Line-3,야간,1.0,,22.7,63.9,99.99,200.67,50.96,0
Line-2,주간,10.0,30.9,22.2,51.5,96.03,213.44,49.38,0
Line-3,주간,5.0,32.7,20.3,71.2,96.11,216.1,49.84,0
Line-1,주간,0.0,35.4,22.4,47.3,97.94,197.54,59.27,0
Line-2,주간,,33.4,30.4,32.5,91.05,189.53,56.11,0
Line-2,야간,2.0,29.4,24.7,57.5,108.22,169.59,56.19,0
Line-2,주간,5.0,28.0,23.7,41.2,89.49,167.66,52.96,0
Line-1,주간,0.0,29.0,24.3,46.2,94.82,193.39,50.29,0
Line-2,야간,8.0,23.1,19.0,55.9,117.1,231.86,45.94,0
Line-1,야간,1.0,37.3,28.6,46.0,92.38,214.88,53.83,0
Line-2,야간,1.0,31.7,29.5,52.5,94.79,209.32,55.59,0
Line-3,주간,10.0,25.8,26.8,48.6,80.37,207.5,50.63,0
Line-2,주간,4.0,18.8,29.0,55.8,104.72,178.72,55.38,0
Line-1,야간,1.0,35.7,22.0,76.8,110.95,201.77,51.5,0
Line-1,주간,9.0,24.6,25.7,48.7,105.22,215.4,48.9,0
Line-1,야간,11.0,23.7,28.5,43.8,107.67,204.94,46.87,0
Line-1,주간,15.0,,21.8,53.0,126.37,210.31,44.73,0
Line-3,야간,7.0,40.0,22.0,82.0,95.6,192.37,44.55,0
Line-3,주간,4.0,26.7,31.1,52.3,118.4,212.9,47.08,0
Line-3,야간,4.0,34.6,26.9,41.5,96.42,183.7,54.77,0
Line-3,야간,13.0,30.4,23.1,56.2,93.86,218.23,48.84,0
Line-2,주간,11.0,,26.3,37.9,115.85,201.84,54.02,0
Line-3,야간,4.0,,26.3,59.3,107.13,208.22,44.73,0
Line-1,주간,7.0,25.0,27.5,68.7,98.72,175.66,53.65,0
Line-1,야간,4.0,36.2,27.1,52.1,108.39,181.46,41.95,0
Line-1,주간,9.0,28.4,24.3,62.6,81.18,195.46,51.01,0
Line-2,야간,4.0,29.1,26.4,41.4,112.85,194.84,47.78,0
Line-1,야간,0.0,30.4,27.3,59.4,95.98,193.49,49.79,0
Line-2,야간,10.0,40.7,27.7,43.3,99.32,204.06,40.86,0
Line-3,주간,4.0,33.6,24.2,50.7,100.99,204.12,56.02,0
Line-1,야간,15.0,28.7,26.7,42.4,95.57,194.12,45.21,0
Line-2,주간,5.0,22.3,20.9,51.6,107.44,175.51,41.08,0
Line-3,주간,11.0,29.5,19.6,45.1,110.75,184.65,46.9,0
Line-1,야간,3.0,38.1,29.7,48.4,91.53,185.08,56.12,0
Line-3,야간,2.0,30.8,29.5,36.2,114.9,190.51,52.54,0
Line-3,야간,5.0,34.8,20.6,46.8,98.78,193.95,52.78,0
Line-3,주간,8.0,22.3,27.1,69.5,88.37,177.12,53.02,0
Line-3,야간,6.0,31.1,26.4,64.2,74.35,211.48,57.9,0
Line-1,주간,14.0,23.2,24.1,23.0,111.96,208.49,49.07,0
Line-2,야간,11.0,31.2,20.0,59.5,109.91,223.49,46.5,0
Line-2,주간,8.0,42.2,19.6,44.7,119.04,179.64,51.96,0
Line-3,야간,8.0,30.5,27.0,68.9,108.14,156.32,49.1,0
Line-3,야간,11.0,29.1,28.9,41.2,92.18,191.94,48.19,0
Line-1,야간,9.0,29.5,25.0,50.2,110.73,214.46,57.73,0
Line-2,주간,9.0,28.1,25.1,51.9,96.2,197.85,48.52,0
Line-1,주간,6.0,31.2,20.0,52.6,119.23,215.05,54.07,0
Line-1,야간,13.0,39.0,21.7,62.9,118.82,170.63,53.86,0
Line-1,야간,3.0,35.7,26.7,57.3,113.35,222.89,53.83,0
Line-3,주간,0.0,30.0,26.7,53.5,116.16,205.51,60.01,0
Line-3,야간,3.0,27.9,25.2,61.5,81.15,206.83,48.98,0
Line-2,주간,7.0,35.1,23.8,44.9,90.63,182.02,57.64,0
Line-1,야간,7.0,29.4,21.8,54.0,125.67,199.67,40.98,0
Line-3,야간,2.0,30.5,26.4,62.4,92.28,202.19,52.94,0
Line-3,야간,6.0,30.8,26.2,35.9,118.81,211.5,47.74,0
Line-3,주간,7.0,20.7,27.3,53.8,114.13,202.53,42.5,0
Line-3,야간,8.0,22.5,28.2,65.2,95.53,172.07,55.93,0
Line-1,주간,4.0,23.5,29.8,37.8,86.4,177.21,50.6,0
Line-1,주간,15.0,23.3,20.5,41.9,98.59,225.21,44.28,0
Line-3,주간,7.0,31.3,28.9,45.6,102.57,199.68,46.14,0
Line-2,주간,12.0,32.7,29.8,54.5,95.87,216.2,55.87,0
Line-2,야간,4.0,23.9,21.1,41.3,109.81,227.89,57.09,0
Line-2,야간,13.0,30.2,23.1,51.7,100.2,187.81,59.57,0
Line-3,야간,3.0,26.0,21.9,75.8,93.23,184.24,45.98,0
Line-1,주간,9.0,33.5,21.8,56.7,102.32,220.74,39.55,0
Line-3,주간,0.0,33.9,25.4,36.8,93.78,238.29,47.44,0
Line-1,야간,14.0,28.7,21.1,51.9,94.42,190.41,55.7,0
Line-2,야간,13.0,31.8,24.4,54.4,110.53,203.43,52.81,0
Line-1,주간,15.0,36.5,26.4,64.9,90.41,189.92,50.51,0
Line-1,야간,9.0,28.4,23.1,43.5,95.24,213.49,46.92,0
Line-2,주간,13.0,25.8,24.5,35.6,113.37,222.41,40.06,0
Line-2,야간,2.0,37.7,23.6,33.6,89.04,187.04,53.89,0
Line-2,주간,1.0,26.2,23.2,57.0,92.41,224.75,46.4,0
Line-2,야간,0.0,20.5,25.8,46.0,105.03,186.42,42.9,0
Line-3,야간,4.0,19.0,25.6,37.3,92.73,186.78,53.43,0
Line-1,야간,9.0,26.0,19.8,39.2,119.37,205.86,49.44,0
Line-3,주간,6.0,25.0,20.6,41.5,106.93,187.75,47.25,0
Line-3,야간,4.0,29.8,26.0,70.4,107.56,179.68,53.33,0
Line-1,야간,10.0,29.3,22.7,55.2,99.15,192.37,50.59,0
Line-3,야간,2.0,30.1,26.4,47.0,108.14,188.4,49.57,0
Line-2,주간,8.0,37.1,28.3,51.5,114.94,194.7,51.79,0
Line-1,주간,14.0,30.9,27.2,56.6,101.52,213.18,57.33,0
Line-1,주간,2.0,30.4,25.0,37.7,83.12,228.12,46.61,0
Line-2,주간,8.0,31.0,24.2,26.8,108.47,191.9,49.87,0
Line-3,주간,15.0,32.7,26.4,43.6,107.93,224.61,50.46,0
Line-1,주간,11.0,21.5,26.4,47.2,81.59,229.11,55.04,0
Line-3,야간,,27.9,26.4,53.3,116.67,222.39,49.85,0
Line-2,주간,7.0,26.2,26.7,44.4,118.54,207.03,39.1,0
Line-1,주간,1.0,32.2,26.9,46.0,102.61,208.7,59.7,0
Line-2,야간,11.0,35.6,27.7,51.1,99.97,191.0,51.16,0
Line-2,야간,4.0,22.1,21.5,57.6,90.81,211.5,46.75,0
Line-1,주간,0.0,26.6,27.0,46.6,106.41,246.01,50.81,0
Line-2,주간,1.0,22.1,26.9,43.9,85.57,195.31,53.52,0
Line-3,야간,3.0,23.3,27.4,47.8,123.35,216.46,44.73,0
Line-1,주간,4.0,30.4,21.9,45.3,114.25,189.47,49.24,0
Line-2,주간,6.0,31.7,31.7,39.3,98.48,210.18,38.24,0
Line-2,주간,2.0,37.0,26.1,51.1,87.09,173.56,51.5,0
Line-2,야간,9.0,26.3,22.0,54.8,105.92,187.14,41.8,0
Line-1,주간,0.0,27.6,20.6,57.1,116.11,198.65,51.82,0
Line-2,야간,5.0,32.2,26.5,57.7,105.17,212.02,46.25,0
Line-1,주간,11.0,,22.3,43.1,86.69,212.86,45.28,0
Line-2,야간,3.0,25.9,26.5,47.1,103.13,180.77,35.42,0
Line-1,야간,6.0,29.2,26.4,57.0,99.72,196.3,62.18,0
Line-1,주간,11.0,33.6,25.7,60.3,96.15,181.09,53.28,0
Line-3,야간,2.0,26.4,31.2,53.4,91.03,187.26,45.54,0
Line-3,주간,5.0,33.5,27.9,65.8,98.39,203.69,45.32,0
Line-3,야간,4.0,29.3,25.9,63.7,95.68,189.1,47.35,0
Line-1,야간,4.0,34.0,25.0,49.5,113.56,228.54,49.86,0
Line-3,주간,,34.2,30.2,25.3,103.56,197.34,56.91,0
