tenure_months,contract_type,payment_method,internet_service,monthly_charge,total_charges,data_usage_gb,support_calls,addon_services,churn
69.0,1년,지류,기가,75362.0,,205.0,1.0,5.0,0
46.0,2년,자동이체,광랜,62715.0,3210381.0,474.0,3.0,4.0,0
39.0,2년,신용카드,기가,24181.0,1022849.0,361.0,0.0,4.0,0
23.0,무약정,자동이체,미사용,96363.0,1879113.0,109.0,6.0,1.0,1
64.0,2년,지류,미사용,87523.0,5463637.0,108.0,3.0,5.0,0
4.0,무약정,자동이체,미사용,58655.0,203521.0,469.0,1.0,3.0,1
27.0,1년,신용카드,미사용,146150.0,3830393.0,189.0,7.0,1.0,1
38.0,무약정,신용카드,광랜,58382.0,2384910.0,444.0,5.0,4.0,1
61.0,1년,자동이체,미사용,,6754334.0,213.0,4.0,0.0,1
38.0,무약정,지류,기가,108290.0,4346803.0,50.0,0.0,5.0,1
68.0,2년,신용카드,광랜,80334.0,4519281.0,469.0,9.0,2.0,0
45.0,2년,지류,미사용,73670.0,2701214.0,127.0,3.0,3.0,0
5.0,무약정,지류,광랜,29580.0,163602.0,36.0,4.0,0.0,1
39.0,1년,신용카드,기가,119306.0,3955292.0,286.0,,0.0,1
53.0,1년,지류,광랜,63929.0,3787354.0,269.0,1.0,1.0,0
62.0,2년,자동이체,광랜,74159.0,5033334.0,49.0,6.0,0.0,0
70.0,2년,신용카드,광랜,89495.0,6484247.0,78.0,8.0,2.0,0
61.0,2년,자동이체,광랜,83861.0,5689796.0,334.0,5.0,4.0,0
35.0,무약정,자동이체,광랜,131538.0,3889524.0,433.0,6.0,3.0,1
53.0,무약정,신용카드,광랜,121570.0,5455200.0,108.0,7.0,1.0,1
48.0,2년,자동이체,광랜,74789.0,3873301.0,287.0,5.0,1.0,0
28.0,무약정,지류,기가,142129.0,4204534.0,25.0,7.0,0.0,1
42.0,2년,자동이체,미사용,99704.0,3620639.0,,5.0,5.0,0
6.0,무약정,,미사용,139136.0,841701.0,252.0,4.0,0.0,1
30.0,무약정,신용카드,기가,129437.0,3448213.0,322.0,3.0,4.0,1
56.0,무약정,신용카드,광랜,106536.0,6146254.0,404.0,3.0,0.0,1
23.0,2년,자동이체,광랜,137024.0,3001505.0,345.0,6.0,5.0,1
63.0,2년,신용카드,광랜,54034.0,3695028.0,36.0,1.0,2.0,0
66.0,2년,자동이체,미사용,121095.0,7871938.0,314.0,0.0,5.0,0
5.0,1년,신용카드,기가,82415.0,406293.0,47.0,1.0,1.0,1
38.0,2년,신용카드,미사용,70304.0,2591101.0,448.0,9.0,1.0,1
68.0,2년,자동이체,미사용,41418.0,2871990.0,199.0,2.0,3.0,0
41.0,2년,지류,미사용,73996.0,2652640.0,31.0,,5.0,0
66.0,2년,자동이체,기가,69585.0,5282827.0,309.0,,5.0,0
65.0,1년,자동이체,기가,49793.0,2696339.0,381.0,6.0,0.0,0
32.0,2년,자동이체,광랜,37213.0,1024786.0,212.0,7.0,4.0,0
,1년,신용카드,기가,97931.0,7138221.0,364.0,8.0,2.0,0
19.0,무약정,지류,기가,20352.0,391486.0,431.0,,2.0,1
4.0,1년,지류,광랜,31094.0,106147.0,84.0,3.0,1.0,1
34.0,무약정,신용카드,미사용,57195.0,2229220.0,68.0,6.0,3.0,1
12.0,2년,지류,광랜,45496.0,643643.0,304.0,9.0,2.0,1
37.0,,자동이체,미사용,53414.0,2343955.0,258.0,0.0,1.0,0
29.0,2년,자동이체,광랜,39918.0,1007853.0,53.0,4.0,2.0,0
40.0,1년,지류,기가,143238.0,6056372.0,412.0,9.0,2.0,1
16.0,2년,지류,미사용,54037.0,778912.0,253.0,6.0,4.0,1
30.0,1년,자동이체,미사용,116201.0,3428321.0,419.0,2.0,1.0,1
63.0,무약정,자동이체,기가,22307.0,1181906.0,498.0,7.0,2.0,0
18.0,1년,자동이체,,65174.0,1124776.0,419.0,2.0,1.0,1
35.0,2년,지류,광랜,54735.0,,86.0,10.0,1.0,1
58.0,무약정,,미사용,43726.0,2417445.0,349.0,7.0,2.0,1
60.0,2년,자동이체,미사용,58470.0,3978098.0,168.0,2.0,5.0,0
43.0,2년,신용카드,기가,23379.0,984272.0,319.0,0.0,5.0,0
15.0,무약정,신용카드,광랜,110350.0,1915962.0,117.0,1.0,2.0,1
57.0,무약정,신용카드,기가,107682.0,,193.0,4.0,0.0,1
43.0,1년,신용카드,기가,70989.0,2703782.0,201.0,4.0,1.0,0
53.0,1년,자동이체,기가,59969.0,3585639.0,56.0,2.0,3.0,0
61.0,2년,지류,,71399.0,3780194.0,426.0,6.0,,0
9.0,1년,신용카드,미사용,108288.0,1031946.0,270.0,7.0,5.0,1
66.0,2년,신용카드,광랜,93089.0,5866273.0,74.0,0.0,1.0,0
35.0,1년,자동이체,광랜,50453.0,1542560.0,325.0,3.0,4.0,1
29.0,무약정,신용카드,미사용,146317.0,5026092.0,248.0,1.0,4.0,1
57.0,1년,자동이체,광랜,93808.0,4545054.0,130.0,4.0,3.0,0
52.0,2년,지류,기가,35049.0,1786548.0,211.0,10.0,1.0,0
64.0,무약정,지류,광랜,139364.0,9642748.0,292.0,,5.0,1
26.0,1년,지류,기가,66428.0,,153.0,2.0,2.0,1
2.0,1년,자동이체,미사용,124978.0,274899.0,465.0,3.0,4.0,1
69.0,2년,신용카드,기가,93086.0,7169992.0,246.0,4.0,0.0,0
19.0,2년,자동이체,기가,103294.0,2140609.0,272.0,10.0,2.0,1
66.0,무약정,지류,미사용,120291.0,6488169.0,462.0,3.0,5.0,1
51.0,2년,지류,미사용,119166.0,7051980.0,181.0,5.0,3.0,0
8.0,2년,신용카드,기가,96512.0,907170.0,106.0,8.0,0.0,1
24.0,2년,자동이체,기가,114530.0,3097775.0,273.0,7.0,,1
6.0,2년,자동이체,기가,115079.0,589695.0,223.0,9.0,4.0,1
13.0,무약정,자동이체,미사용,107157.0,1263034.0,260.0,7.0,4.0,1
5.0,2년,지류,기가,138518.0,,195.0,,4.0,1
16.0,2년,자동이체,광랜,31356.0,513577.0,269.0,10.0,0.0,1
48.0,,자동이체,미사용,51229.0,2123576.0,58.0,8.0,0.0,1
41.0,2년,지류,광랜,21011.0,701061.0,128.0,6.0,4.0,0
17.0,무약정,신용카드,미사용,58894.0,,491.0,0.0,5.0,1
22.0,무약정,지류,광랜,,853943.0,167.0,10.0,4.0,1
55.0,1년,자동이체,기가,75076.0,4736180.0,298.0,4.0,0.0,0
13.0,무약정,자동이체,기가,59273.0,866861.0,145.0,0.0,1.0,1
58.0,2년,자동이체,광랜,131835.0,8460707.0,239.0,1.0,3.0,0
16.0,1년,자동이체,기가,134068.0,2175918.0,40.0,9.0,5.0,1
28.0,무약정,지류,미사용,144043.0,4804265.0,466.0,9.0,3.0,1
58.0,,자동이체,기가,121280.0,7089010.0,175.0,6.0,4.0,0
64.0,,자동이체,기가,36821.0,2294627.0,25.0,1.0,4.0,0
39.0,2년,자동이체,기가,46514.0,2042804.0,453.0,4.0,1.0,0
17.0,1년,신용카드,미사용,118714.0,2035935.0,393.0,0.0,5.0,1
12.0,무약정,신용카드,광랜,57064.0,628521.0,149.0,5.0,2.0,1
68.0,무약정,지류,미사용,58670.0,4610666.0,55.0,,1.0,1
42.0,1년,자동이체,미사용,143999.0,5483032.0,407.0,2.0,,1
35.0,무약정,신용카드,,21876.0,615354.0,,7.0,5.0,1
63.0,2년,지류,광랜,33736.0,1804041.0,85.0,9.0,5.0,0
31.0,1년,지류,광랜,123411.0,3202008.0,,6.0,1.0,1
61.0,무약정,신용카드,광랜,98955.0,6724935.0,45.0,4.0,1.0,1
58.0,1년,지류,미사용,109265.0,5278769.0,327.0,10.0,2.0,1
30.0,,신용카드,광랜,56558.0,1358965.0,322.0,3.0,,0
6.0,1년,자동이체,광랜,121256.0,614448.0,,2.0,0.0,1
1.0,2년,자동이체,미사용,49310.0,53955.0,270.0,5.0,3.0,1
58.0,1년,신용카드,미사용,45854.0,2445473.0,46.0,10.0,5.0,1
8.0,2년,지류,기가,133856.0,869489.0,27.0,6.0,4.0,1
61.0,2년,자동이체,미사용,125072.0,9066443.0,195.0,4.0,5.0,0
40.0,1년,신용카드,미사용,121593.0,5672607.0,26.0,10.0,0.0,1
51.0,1년,신용카드,광랜,114944.0,4733549.0,219.0,1.0,0.0,0
71.0,1년,신용카드,기가,126468.0,7477258.0,64.0,7.0,1.0,1
24.0,1년,지류,기가,108318.0,2155749.0,47.0,5.0,3.0,1
49.0,,자동이체,기가,139109.0,5931569.0,189.0,4.0,1.0,0
32.0,1년,자동이체,미사용,21968.0,744055.0,365.0,5.0,2.0,0
57.0,무약정,지류,기가,141464.0,7350978.0,174.0,1.0,1.0,1
69.0,2년,자동이체,광랜,81675.0,4688504.0,47.0,9.0,0.0,0
32.0,무약정,자동이체,기가,76382.0,2196623.0,205.0,4.0,1.0,1
33.0,무약정,자동이체,미사용,,,252.0,2.0,4.0,1
60.0,1년,자동이체,기가,101538.0,6216786.0,345.0,4.0,2.0,0
31.0,무약정,신용카드,기가,121901.0,3219833.0,273.0,8.0,,1
57.0,1년,지류,미사용,120705.0,6547715.0,252.0,6.0,2.0,1
21.0,2년,지류,기가,104150.0,2615155.0,389.0,9.0,1.0,1
18.0,1년,지류,기가,140273.0,2993863.0,86.0,10.0,2.0,1
15.0,2년,지류,,81856.0,1079657.0,488.0,1.0,0.0,1
64.0,2년,자동이체,광랜,134456.0,9232062.0,214.0,3.0,3.0,0
24.0,2년,자동이체,기가,129414.0,2575751.0,289.0,0.0,1.0,0
50.0,1년,자동이체,미사용,138611.0,6467539.0,450.0,4.0,5.0,1
51.0,무약정,자동이체,미사용,25147.0,1118985.0,373.0,5.0,2.0,0
48.0,무약정,자동이체,기가,80306.0,3366131.0,95.0,4.0,1.0,1
15.0,2년,자동이체,미사용,81422.0,1235495.0,498.0,4.0,2.0,0
,1년,자동이체,광랜,78800.0,1901411.0,229.0,2.0,0.0,0
66.0,2년,지류,미사용,20559.0,1410720.0,432.0,7.0,3.0,0
20.0,무약정,지류,기가,57293.0,1277622.0,129.0,7.0,5.0,1
72.0,1년,자동이체,광랜,34362.0,2230076.0,369.0,6.0,4.0,0
22.0,무약정,신용카드,기가,86178.0,2023043.0,412.0,7.0,0.0,1
66.0,2년,신용카드,광랜,91398.0,6008897.0,219.0,6.0,2.0,0
43.0,무약정,자동이체,,121038.0,5981179.0,326.0,1.0,0.0,1
25.0,2년,지류,미사용,61418.0,1515141.0,351.0,0.0,4.0,0
12.0,2년,신용카드,광랜,88438.0,1245085.0,423.0,5.0,3.0,1
65.0,2년,자동이체,미사용,64312.0,4600971.0,454.0,2.0,1.0,0
31.0,1년,신용카드,,56022.0,1870034.0,243.0,6.0,2.0,1
28.0,무약정,자동이체,미사용,91371.0,2744876.0,66.0,9.0,5.0,1
25.0,2년,신용카드,광랜,144052.0,3792357.0,95.0,7.0,3.0,1
40.0,1년,신용카드,기가,149271.0,4993513.0,177.0,5.0,3.0,1
25.0,무약정,지류,기가,58143.0,1572554.0,391.0,1.0,1.0,1
51.0,2년,지류,기가,56482.0,2729065.0,140.0,5.0,3.0,0
53.0,2년,지류,미사용,51191.0,3086317.0,260.0,2.0,5.0,0
32.0,2년,지류,미사용,110376.0,3365925.0,288.0,8.0,1.0,1
43.0,무약정,자동이체,광랜,66099.0,2851332.0,242.0,6.0,2.0,1
21.0,2년,신용카드,미사용,72325.0,1759392.0,246.0,0.0,5.0,0
34.0,무약정,지류,광랜,52493.0,1965792.0,261.0,,1.0,1
71.0,1년,지류,미사용,52420.0,4176220.0,351.0,10.0,1.0,1
16.0,1년,지류,미사용,105620.0,1590767.0,496.0,7.0,5.0,1
36.0,1년,자동이체,미사용,102922.0,3806294.0,351.0,3.0,1.0,1
69.0,,지류,미사용,90501.0,6674319.0,470.0,1.0,4.0,0
49.0,무약정,지류,미사용,78554.0,3719664.0,170.0,0.0,0.0,1
36.0,2년,지류,미사용,28708.0,1197004.0,218.0,4.0,0.0,0
24.0,무약정,자동이체,미사용,88238.0,2039522.0,,1.0,2.0,1
5.0,무약정,자동이체,기가,50637.0,244513.0,289.0,10.0,5.0,1
30.0,2년,지류,,61258.0,2025638.0,77.0,6.0,1.0,1
43.0,2년,신용카드,광랜,42955.0,1636561.0,145.0,4.0,5.0,0
27.0,2년,자동이체,미사용,44058.0,1383139.0,190.0,3.0,4.0,0
38.0,2년,자동이체,기가,123377.0,5557946.0,230.0,7.0,1.0,1
,1년,신용카드,미사용,108428.0,5920429.0,72.0,3.0,5.0,0
48.0,2년,신용카드,광랜,133634.0,5532363.0,422.0,7.0,4.0,1
57.0,2년,자동이체,기가,25240.0,1697793.0,,9.0,2.0,0
60.0,무약정,지류,광랜,81182.0,4457087.0,264.0,10.0,1.0,1
21.0,2년,신용카드,미사용,45206.0,959262.0,251.0,6.0,3.0,1
69.0,2년,신용카드,기가,33779.0,2158249.0,54.0,9.0,3.0,0
52.0,무약정,자동이체,,,5444214.0,400.0,4.0,3.0,1
4.0,1년,신용카드,미사용,64451.0,279362.0,381.0,7.0,0.0,1
64.0,2년,자동이체,미사용,138630.0,9423853.0,357.0,2.0,2.0,0
47.0,2년,지류,기가,113768.0,4827946.0,304.0,10.0,1.0,1
36.0,무약정,지류,광랜,149507.0,5287708.0,186.0,10.0,1.0,1
65.0,1년,자동이체,미사용,84955.0,5327399.0,176.0,3.0,5.0,0
56.0,,자동이체,기가,148631.0,7710256.0,498.0,3.0,3.0,1
56.0,무약정,자동이체,기가,95131.0,4600568.0,44.0,3.0,1.0,1
51.0,1년,자동이체,미사용,,7573117.0,278.0,1.0,0.0,1
35.0,무약정,지류,기가,144382.0,4841170.0,340.0,6.0,2.0,1
31.0,2년,지류,광랜,104286.0,3058392.0,458.0,0.0,1.0,0
,2년,자동이체,광랜,55569.0,4122586.0,102.0,2.0,5.0,0
13.0,2년,신용카드,기가,119437.0,1462012.0,,1.0,1.0,1
57.0,2년,신용카드,기가,80981.0,4224989.0,138.0,10.0,0.0,0
28.0,2년,신용카드,,117394.0,3351357.0,,6.0,5.0,1
27.0,1년,신용카드,기가,70486.0,2154543.0,181.0,10.0,1.0,1
6.0,2년,자동이체,광랜,68729.0,440847.0,477.0,8.0,5.0,1
11.0,2년,신용카드,미사용,107733.0,1283788.0,359.0,2.0,5.0,1
43.0,1년,자동이체,기가,38383.0,1784136.0,329.0,3.0,3.0,0
14.0,무약정,자동이체,광랜,94160.0,1193650.0,75.0,2.0,4.0,1
40.0,1년,지류,광랜,122201.0,5104309.0,251.0,3.0,5.0,1
28.0,1년,지류,광랜,95646.0,3140319.0,116.0,1.0,2.0,1
40.0,1년,신용카드,미사용,119381.0,4018107.0,391.0,8.0,,1
38.0,무약정,지류,미사용,21575.0,843690.0,357.0,9.0,3.0,1
5.0,1년,자동이체,미사용,56816.0,241473.0,324.0,7.0,3.0,1
2.0,무약정,신용카드,미사용,96141.0,186816.0,458.0,2.0,3.0,1
17.0,2년,지류,기가,128376.0,1749088.0,172.0,5.0,0.0,1
54.0,,,미사용,93268.0,5861686.0,448.0,,4.0,0
11.0,2년,지류,광랜,126859.0,1429134.0,264.0,5.0,5.0,1
55.0,무약정,자동이체,기가,57247.0,3295605.0,125.0,,3.0,0
60.0,2년,지류,기가,89725.0,4695191.0,315.0,3.0,3.0,0
51.0,2년,신용카드,광랜,88494.0,4261212.0,222.0,6.0,4.0,0
4.0,2년,지류,기가,122214.0,585645.0,77.0,2.0,2.0,1
67.0,무약정,신용카드,기가,,6921437.0,412.0,0.0,0.0,0
6.0,1년,자동이체,광랜,22567.0,110974.0,94.0,6.0,2.0,1
13.0,무약정,신용카드,광랜,86734.0,1029010.0,75.0,0.0,4.0,1
51.0,무약정,자동이체,미사용,43532.0,2645513.0,499.0,10.0,3.0,1
46.0,1년,지류,광랜,127522.0,7038221.0,298.0,1.0,1.0,1
59.0,2년,신용카드,미사용,39396.0,1878256.0,179.0,3.0,3.0,0
31.0,2년,자동이체,광랜,45083.0,1398065.0,83.0,3.0,2.0,0
62.0,2년,자동이체,기가,26360.0,1677090.0,175.0,7.0,3.0,0
49.0,2년,지류,광랜,23904.0,1010496.0,217.0,5.0,1.0,0
14.0,무약정,자동이체,광랜,46065.0,538356.0,446.0,,5.0,1
68.0,무약정,자동이체,광랜,88908.0,6834060.0,348.0,,4.0,1
31.0,2년,지류,미사용,76919.0,2509046.0,93.0,10.0,0.0,1
5.0,2년,자동이체,기가,102719.0,534540.0,184.0,2.0,1.0,1
67.0,무약정,신용카드,기가,32190.0,2561571.0,215.0,4.0,4.0,0
28.0,1년,지류,,139104.0,3258328.0,409.0,8.0,4.0,1
49.0,2년,지류,,,4787678.0,426.0,4.0,1.0,0
31.0,1년,지류,기가,136888.0,4580584.0,374.0,1.0,,1
,무약정,지류,미사용,94255.0,2667853.0,166.0,10.0,5.0,1
26.0,무약정,지류,광랜,125415.0,3744032.0,210.0,10.0,2.0,1
57.0,1년,지류,기가,53393.0,2785819.0,326.0,3.0,1.0,0
71.0,2년,신용카드,광랜,51307.0,3627901.0,183.0,10.0,4.0,0
12.0,2년,지류,광랜,27793.0,306136.0,199.0,,5.0,0
58.0,2년,신용카드,광랜,50042.0,2695724.0,486.0,7.0,,0
50.0,무약정,지류,미사용,80356.0,4129570.0,260.0,10.0,4.0,1
45.0,2년,지류,광랜,69218.0,3462580.0,178.0,0.0,2.0,0
42.0,1년,신용카드,기가,81026.0,2746244.0,485.0,8.0,2.0,1
50.0,2년,자동이체,광랜,138736.0,7481680.0,302.0,1.0,5.0,0
10.0,무약정,자동이체,광랜,29310.0,349565.0,473.0,5.0,2.0,1
41.0,2년,신용카드,기가,126424.0,4594838.0,407.0,1.0,1.0,1
61.0,2년,신용카드,기가,51953.0,2735975.0,477.0,3.0,5.0,0
63.0,2년,자동이체,기가,123251.0,8430917.0,451.0,10.0,2.0,1
57.0,2년,신용카드,기가,27162.0,1673264.0,216.0,5.0,5.0,0
10.0,1년,지류,미사용,67034.0,610374.0,199.0,5.0,0.0,1
12.0,2년,신용카드,기가,82783.0,924789.0,256.0,2.0,0.0,1
45.0,1년,신용카드,광랜,97304.0,3804786.0,139.0,,0.0,1
30.0,무약정,자동이체,미사용,34231.0,860844.0,270.0,2.0,4.0,1
49.0,2년,지류,미사용,34110.0,1798374.0,453.0,10.0,1.0,1
2.0,,신용카드,광랜,77032.0,130270.0,10.0,7.0,2.0,1
63.0,2년,자동이체,광랜,147877.0,10980052.0,244.0,,3.0,0
4.0,1년,자동이체,광랜,43726.0,184333.0,203.0,10.0,0.0,1
38.0,무약정,자동이체,미사용,21445.0,875068.0,351.0,2.0,5.0,0
45.0,무약정,자동이체,기가,,1467371.0,148.0,0.0,3.0,0
13.0,2년,지류,미사용,143945.0,1832344.0,257.0,,5.0,1
36.0,1년,자동이체,기가,148059.0,5294013.0,176.0,3.0,1.0,1
2.0,1년,자동이체,광랜,38252.0,84636.0,258.0,3.0,2.0,1
68.0,무약정,신용카드,기가,136339.0,8523668.0,280.0,4.0,1.0,1
49.0,,지류,미사용,44572.0,1921021.0,84.0,4.0,0.0,0
64.0,2년,자동이체,광랜,135590.0,9954124.0,285.0,6.0,3.0,0
33.0,무약정,지류,기가,25341.0,840002.0,130.0,10.0,3.0,1
5.0,1년,지류,미사용,51281.0,267298.0,206.0,4.0,0.0,1
56.0,2년,지류,광랜,54412.0,3540583.0,405.0,10.0,2.0,0
33.0,무약정,신용카드,기가,69694.0,2533489.0,364.0,4.0,3.0,1
9.0,2년,자동이체,광랜,145036.0,1388968.0,126.0,0.0,,1
65.0,2년,지류,미사용,78602.0,5373124.0,489.0,1.0,2.0,0
19.0,1년,신용카드,광랜,123757.0,2665045.0,,3.0,2.0,1
2.0,무약정,신용카드,광랜,,113225.0,282.0,7.0,4.0,1
64.0,2년,지류,미사용,107619.0,8159851.0,442.0,10.0,,1
44.0,무약정,신용카드,,122636.0,5107793.0,85.0,1.0,4.0,1
31.0,2년,지류,기가,143956.0,4400142.0,304.0,1.0,0.0,1
58.0,1년,자동이체,광랜,63145.0,3739498.0,261.0,,4.0,0
30.0,무약정,지류,기가,29680.0,850794.0,45.0,3.0,2.0,1
51.0,2년,지류,미사용,,1487883.0,401.0,8.0,5.0,0
60.0,1년,신용카드,광랜,143259.0,7326792.0,298.0,3.0,2.0,1
14.0,1년,,미사용,36181.0,473360.0,23.0,2.0,3.0,1
62.0,1년,신용카드,미사용,37924.0,2285100.0,408.0,0.0,1.0,0
