number,building_material,parking_spaces,subway_stations_1km,amenities_500m,school_score,price_eok
134,목조,2,1,3,6,30
135,벽돌,2,0,7,7,30.4
136,철근콘크리트,2,2,10,10,27.4
137,목조,2,3,2,5,37.6
138,철근콘크리트,1,2,13,5,25.3
139,벽돌,1,3,1,3,22.3
140,벽돌,2,2,3,1,32
141,목조,2,0,13,7,29.6
142,철근콘크리트,2,2,11,6,42.5
143,목조,2,1,11,6,25.1
144,목조,2,1,12,2,30
145,철근콘크리트,1,1,7,2,21.8
146,벽돌,2,3,1,7,34.1
147,벽돌,1,1,13,9,17.6
148,목조,2,0,6,2,21.8
149,철근콘크리트,2,0,8,4,19.1
150,벽돌,3,0,7,4,23.8
151,철근콘크리트,3,2,6,8,45.2
152,철근콘크리트,3,3,12,1,28
153,벽돌,1,2,14,3,26.2
154,목조,2,0,5,1,19.3
155,철근콘크리트,1,1,5,2,20.6
156,철근콘크리트,2,3,14,3,29.4
157,철근콘크리트,2,0,12,3,21.7
158,벽돌,2,3,9,5,17.4
159,목조,3,0,7,5,35.3
160,철근콘크리트,2,2,13,9,24.7
161,목조,2,3,2,7,34.5
162,철근콘크리트,2,1,4,1,25.9
163,철근콘크리트,2,2,0,5,35.2
164,철근콘크리트,2,1,7,10,41
165,철근콘크리트,2,3,14,7,36.4
166,철근콘크리트,2,0,5,7,22.3
167,목조,2,3,1,5,30.8
168,벽돌,2,0,7,7,25.4
169,벽돌,,0,12,6,31.3
170,철근콘크리트,1,0,14,7,22.8
171,벽돌,1,0,14,7,27.6
172,목조,2,3,14,5,29.9
173,철근콘크리트,2,3,0,8,31.7
174,벽돌,2,1,1,5,31.8
175,목조,2,2,11,8,30.5
176,철근콘크리트,,0,0,1,21.6
177,목조,2,1,13,6,23.2
178,철근콘크리트,1,0,0,7,12.4
179,철근콘크리트,2,2,1,9,36.2
180,목조,2,3,6,10,39.7
181,목조,1,1,2,7,19.5
182,목조,1,,12,8,20.2
183,벽돌,2,0,13,1,28.6
184,목조,2,2,4,2,35.2
185,목조,1,2,3,2,28.2
186,철근콘크리트,1,1,12,7,23.9
187,목조,2,2,7,1,35.9
188,벽돌,1,1,7,5,11.8
189,벽돌,3,2,8,7,29.1
190,벽돌,2,1,3,4,25.1
191,목조,2,2,11,9,36.9
192,목조,1,2,13,4,18.8
193,철근콘크리트,1,1,1,3,15
194,목조,2,2,3,4,24.3
195,목조,1,0,1,5,24.2
196,벽돌,3,3,2,8,36.6
197,벽돌,1,3,4,3,27
198,목조,2,0,5,10,24.6
199,철근콘크리트,1,1,9,2,20.3
200,목조,2,1,5,5,29.1
201,목조,2,0,14,7,27.5
202,벽돌,1,2,1,1,25.4
203,목조,2,0,8,7,29.8
204,벽돌,1,3,5,5,27.2
205,목조,3,3,4,9,34.3
206,벽돌,3,3,7,3,40.1
207,벽돌,2,3,11,4,25.2
208,철근콘크리트,3,1,10,2,24.9
209,철근콘크리트,3,1,2,3,33.5
210,철근콘크리트,2,2,14,3,23.2
211,목조,2,0,12,6,25
212,벽돌,2,1,7,8,23.2
213,목조,1,0,5,1,18.8
214,벽돌,1,1,9,3,13.5
215,벽돌,,2,14,7,31
216,목조,2,1,4,7,30
217,철근콘크리트,2,1,2,9,30.1
218,벽돌,2,2,10,6,32.6
219,철근콘크리트,3,2,9,1,36.2
220,목조,1,3,8,7,28.7
221,벽돌,1,2,4,9,34.7
222,철근콘크리트,2,0,10,2,22
223,철근콘크리트,,,7,10,23.5
224,목조,3,0,2,8,40.2
225,벽돌,2,3,14,8,32.9
226,벽돌,1,3,7,9,16.5
227,목조,1,3,4,1,32.6
228,철근콘크리트,1,2,4,6,25.9
229,벽돌,1,1,13,4,15.8
230,철근콘크리트,3,2,0,10,37.2
231,벽돌,3,1,13,2,26.7
232,목조,3,1,6,10,26.1
233,벽돌,2,1,14,9,19.4
234,철근콘크리트,2,2,4,8,39.8
235,목조,1,1,11,7,25.5
236,벽돌,2,3,10,4,31.2
237,벽돌,2,3,14,6,27.9
238,목조,3,2,1,5,44.1
239,철근콘크리트,1,2,11,5,31
240,벽돌,2,2,2,10,22.8
241,철근콘크리트,2,1,3,9,19.3
242,벽돌,1,3,5,1,16.5
243,철근콘크리트,2,0,12,8,27.4
244,목조,2,0,12,10,33.5
245,벽돌,3,2,4,5,29.7
246,벽돌,2,2,4,3,33.2
247,,2,0,0,1,27.2
248,철근콘크리트,1,3,12,5,27.1
249,목조,2,3,10,7,29.7
250,벽돌,2,1,8,7,20.1
251,철근콘크리트,2,3,1,10,38.8
252,벽돌,1,2,9,10,32.7
253,벽돌,2,2,6,2,15.4
254,철근콘크리트,1,3,3,5,28
255,목조,2,2,9,7,33.1
256,목조,2,1,7,4,21.5
257,벽돌,1,0,9,8,16
258,철근콘크리트,2,0,8,5,25.8
259,벽돌,2,0,3,2,27.4
260,목조,1,0,7,1,19.9
261,철근콘크리트,2,3,2,3,36.7
262,철근콘크리트,2,2,1,8,30.4
263,벽돌,2,3,2,1,26.5
264,철근콘크리트,2,1,10,3,34.4
265,목조,2,3,7,2,29.2
266,철근콘크리트,1,1,3,6,18.7
267,철근콘크리트,3,0,9,8,32.8
268,목조,2,0,8,1,28.6
269,목조,1,0,14,8,25.8
270,벽돌,2,3,12,10,35
271,벽돌,2,,1,3,27.8
272,철근콘크리트,2,0,7,9,29.2
273,목조,1,3,10,5,23
274,벽돌,2,0,12,8,18.7
275,목조,2,0,4,5,30.2
276,목조,2,1,5,5,32.9
277,벽돌,2,2,0,4,34.5
278,철근콘크리트,2,3,7,10,33.3
279,목조,1,2,6,6,22
280,철근콘크리트,2,1,14,2,32.7
281,목조,1,0,3,3,14.9
282,벽돌,1,3,3,2,30.6
283,벽돌,1,0,2,4,26.6
284,목조,2,3,6,6,41.1
285,벽돌,3,2,3,6,40
286,목조,1,2,10,6,30.1
287,벽돌,2,1,4,5,30.3
288,철근콘크리트,1,2,7,3,24.1
289,목조,2,,3,8,33
290,목조,3,0,2,2,24.4
291,철근콘크리트,2,2,11,8,33.9
292,목조,1,0,14,7,21.7
293,벽돌,,3,1,6,31.4
294,목조,2,3,8,5,31
295,철근콘크리트,1,3,7,6,22.1
296,벽돌,2,1,12,1,20.4
297,철근콘크리트,3,3,7,4,34.3
298,철근콘크리트,2,3,1,3,29.8
299,벽돌,1,0,11,9,12.2
300,철근콘크리트,2,0,5,3,18.6
301,목조,1,0,1,7,23.5
302,목조,3,1,11,3,26.1
303,철근콘크리트,2,1,5,7,40.2
304,철근콘크리트,2,0,6,2,20
305,,2,2,8,2,33.6
306,목조,1,0,10,9,17.3
307,철근콘크리트,2,0,14,1,21.2
308,벽돌,1,3,1,7,27
309,철근콘크리트,2,3,1,8,34.9
310,벽돌,1,2,8,6,28.6
311,벽돌,1,2,0,5,26.9
312,벽돌,1,0,8,7,23
313,철근콘크리트,1,0,2,8,21.7
314,목조,1,,8,2,16.4
315,철근콘크리트,2,2,4,4,34.1
316,목조,1,1,11,9,29.8
317,철근콘크리트,2,1,5,3,29.4
318,,2,3,14,8,32.9
319,철근콘크리트,1,2,12,6,24.7
320,,2,2,11,1,30.4
321,목조,1,1,0,8,14.4
322,벽돌,2,1,14,8,38.7
323,벽돌,2,3,13,4,25.5
324,벽돌,3,0,5,9,35.4
325,목조,2,3,13,8,36.5
326,철근콘크리트,1,0,9,6,22.3
327,벽돌,2,2,8,8,37.1
328,,2,,10,9,26.8
329,벽돌,2,2,12,9,34.5
330,철근콘크리트,2,3,14,4,40.8
331,벽돌,1,3,14,9,33.3
332,철근콘크리트,2,2,9,3,29
333,철근콘크리트,2,0,6,1,23.8
334,목조,3,3,9,8,44.7
335,철근콘크리트,2,0,2,6,27.5
336,벽돌,2,2,2,10,20.4
337,목조,2,0,10,2,24.5
338,철근콘크리트,3,3,10,5,30.3
339,철근콘크리트,2,0,0,5,22.2
340,벽돌,1,1,14,8,33.7
341,목조,2,0,6,9,27.5
342,목조,2,2,8,9,34.2
343,벽돌,2,0,7,1,24
344,벽돌,2,3,12,7,27.2
345,철근콘크리트,2,2,2,10,24.4
346,철근콘크리트,1,1,13,2,20.3
347,목조,2,1,5,2,30
348,목조,1,2,9,4,25.3
349,벽돌,1,1,14,6,16.2
350,목조,2,0,9,1,23
351,,2,3,13,5,46.6
352,목조,1,0,13,2,16.1
353,벽돌,1,0,2,3,8.4
354,철근콘크리트,2,0,5,6,22.7
355,철근콘크리트,2,2,11,3,21.7
356,목조,1,3,4,6,31.7
357,목조,2,,9,10,37.8
358,목조,1,0,6,4,22.1
359,벽돌,2,2,7,4,33.1
360,벽돌,1,2,7,3,14.9
361,,2,3,0,3,30.8
362,벽돌,2,1,7,4,20.4
363,철근콘크리트,2,1,0,6,31.7
364,목조,1,1,10,6,20.6
365,철근콘크리트,2,2,8,7,21.5
366,목조,3,1,7,1,22.2
367,목조,2,2,4,3,30.5
368,철근콘크리트,2,0,11,5,34.4
369,벽돌,2,1,4,1,23.7
370,목조,,1,8,8,30.3
371,철근콘크리트,2,1,6,2,20.3
372,벽돌,2,0,14,10,28.7
373,벽돌,1,0,11,9,23.1
374,철근콘크리트,1,3,14,6,32.3
375,철근콘크리트,2,1,11,6,27.2
376,철근콘크리트,2,3,2,3,36.4
377,벽돌,2,1,14,3,30.1
378,철근콘크리트,2,2,8,4,29.7
379,목조,1,0,4,5,19.7
380,목조,2,0,5,10,26.7
381,벽돌,2,1,11,2,27
382,목조,1,0,0,4,25.9
383,철근콘크리트,2,1,9,9,24.7
384,목조,2,0,0,7,23.6
385,철근콘크리트,2,0,3,5,22.9
386,목조,2,2,2,8,35.8
387,철근콘크리트,3,1,8,9,27.6
388,벽돌,2,0,4,3,27.2
389,철근콘크리트,3,1,8,9,36.7
390,목조,2,1,13,5,26
391,철근콘크리트,2,2,9,2,29.3
392,목조,1,2,12,10,30
393,목조,,2,5,7,29
394,목조,3,1,10,10,41.9
395,철근콘크리트,2,1,8,1,28.4
396,목조,1,3,3,5,28.1
397,철근콘크리트,2,1,13,9,27.3
398,철근콘크리트,2,2,1,10,28.7
399,철근콘크리트,2,0,9,4,23.7
400,벽돌,3,1,6,5,29.2
401,목조,2,1,1,4,27.1
402,벽돌,1,3,13,3,30.5
403,목조,1,0,11,9,28.7
404,철근콘크리트,2,3,12,4,31.9
405,벽돌,1,2,13,8,28
406,벽돌,1,0,12,10,20.2
407,벽돌,1,3,7,9,29.2
408,철근콘크리트,2,2,10,5,37.3
409,철근콘크리트,2,0,9,3,29.2
410,목조,2,3,5,2,35.5
411,철근콘크리트,2,1,3,9,27.4
412,철근콘크리트,3,2,6,5,30.1
413,,1,0,0,5,27.3
414,철근콘크리트,1,0,0,8,19.1
415,벽돌,1,1,10,3,13.2
416,목조,2,3,6,7,26
417,철근콘크리트,1,0,2,7,20.6
418,목조,2,1,14,4,20.2
419,목조,2,3,0,9,22.5
420,벽돌,2,0,7,3,29.9
421,철근콘크리트,3,1,5,6,34.5
422,벽돌,2,,0,10,35.6
423,벽돌,1,2,11,2,20.6
424,벽돌,2,1,12,2,20.1
425,철근콘크리트,2,2,4,4,16.7
426,벽돌,1,3,4,4,24.1
427,철근콘크리트,2,0,8,6,20.5
428,목조,2,0,9,10,25.7
429,벽돌,2,0,1,3,22.6
430,철근콘크리트,2,2,12,10,40.6
431,철근콘크리트,3,0,3,3,35.6
432,철근콘크리트,2,2,2,8,38.3
433,목조,2,2,3,1,25.6
434,철근콘크리트,2,0,7,1,25.9
435,,2,1,4,9,28.5
436,목조,3,,2,10,27.3
437,철근콘크리트,1,0,6,4,15.2
438,벽돌,1,1,9,9,23.6
439,철근콘크리트,1,0,11,3,20.6
440,벽돌,1,3,9,6,31.7
441,벽돌,2,0,5,6,15.7
442,벽돌,2,2,3,9,29.3
443,목조,2,2,9,7,28.7
444,목조,1,2,10,8,31
445,벽돌,1,1,4,10,24.8
446,벽돌,2,2,3,8,24.5
447,철근콘크리트,2,2,0,3,20.4
448,철근콘크리트,2,3,7,1,18.3
449,벽돌,2,1,10,6,21.9
450,철근콘크리트,1,3,5,9,20.6
451,목조,1,0,0,4,26.8
452,목조,,2,10,2,29.6
453,목조,3,0,3,10,27.4
454,,2,1,5,5,24.5
455,철근콘크리트,2,0,7,6,23.9
456,철근콘크리트,2,,1,6,39.3
457,벽돌,2,3,0,8,32.7
458,목조,2,0,14,8,24
459,목조,3,3,13,10,39.8
460,철근콘크리트,2,3,1,5,28.5
461,목조,2,3,4,5,32.8
462,철근콘크리트,2,2,9,6,28.4
463,벽돌,1,2,7,10,14.6
464,벽돌,2,2,11,7,22.8
465,벽돌,1,3,7,10,23.3
466,벽돌,2,3,13,10,39.2
467,철근콘크리트,1,,5,9,31.9
468,목조,2,1,1,1,20.6
469,목조,1,3,0,8,25.2
470,벽돌,2,,0,5,25.4
471,목조,3,2,0,10,29.6
472,벽돌,2,3,8,1,32.2
473,철근콘크리트,2,0,7,5,29
474,철근콘크리트,2,2,14,2,25.4
475,철근콘크리트,2,2,8,5,26.2
476,목조,2,0,12,7,27.3
477,철근콘크리트,2,0,6,2,33.3
478,철근콘크리트,,0,13,9,25
479,,2,1,9,9,30.1
480,벽돌,2,0,12,6,27.5
481,철근콘크리트,2,2,5,6,35.2
482,벽돌,2,0,2,4,26.2
483,벽돌,2,1,7,3,26
484,벽돌,2,2,13,5,24.2
485,벽돌,1,1,12,6,19.5
486,철근콘크리트,2,,0,8,24
487,목조,2,3,3,2,30.6
488,벽돌,2,0,10,5,15.8
489,벽돌,2,1,1,7,21.4
490,목조,2,2,12,10,41.7
491,철근콘크리트,1,2,9,9,28.2
492,목조,2,2,10,9,30.7
493,벽돌,2,1,1,6,27.3
494,철근콘크리트,2,0,5,6,16.1
495,목조,2,3,9,8,20.2
496,목조,,1,4,8,28.5
497,벽돌,2,1,14,5,21.9
498,벽돌,2,1,6,4,30.3
499,철근콘크리트,2,1,10,6,24.4
500,벽돌,3,0,0,3,31.5
501,벽돌,,0,4,7,25.9
502,철근콘크리트,2,2,0,6,19.2
503,벽돌,1,1,9,8,22
504,벽돌,1,0,13,4,19.6
505,목조,2,3,5,10,33.2
506,목조,2,3,1,4,42.3
507,철근콘크리트,2,3,12,10,38.5
508,목조,2,1,3,4,19.9
509,철근콘크리트,3,3,14,9,45.6
510,목조,2,2,8,6,28.8
511,,2,,0,9,33.5
512,벽돌,2,,7,9,32.1
513,목조,2,3,4,10,26.8
514,벽돌,2,0,9,9,28.7
515,철근콘크리트,2,2,7,6,20.6
516,벽돌,2,3,9,9,32.9
517,철근콘크리트,1,,1,2,21.1
518,목조,1,1,8,10,29.7
519,벽돌,1,2,8,10,29.7
520,철근콘크리트,2,2,0,1,39
521,,,2,10,9,36.3
522,철근콘크리트,2,3,13,7,41.9
523,철근콘크리트,1,3,3,7,26
524,철근콘크리트,2,3,0,4,33
525,목조,1,2,4,3,25.9
526,목조,2,2,9,5,25.9
527,목조,2,1,1,2,16.1
528,목조,3,3,2,8,37.7
529,철근콘크리트,1,1,11,9,27.5
530,벽돌,1,2,13,7,27.7
531,벽돌,1,0,13,10,19.1
532,벽돌,2,1,12,3,35.6
533,철근콘크리트,2,3,9,6,26.5
534,목조,1,3,5,2,26.3
535,벽돌,2,0,6,7,29.2
536,철근콘크리트,2,1,0,7,34.7
537,벽돌,1,2,0,10,28.1
538,벽돌,2,0,10,9,35.2
539,벽돌,3,2,1,9,38.7
540,목조,2,1,8,6,21.8
541,벽돌,1,0,7,6,18.7
542,벽돌,1,0,10,1,21.2
543,목조,2,0,6,7,34.1
544,철근콘크리트,3,3,13,1,38.3
545,목조,1,0,13,3,24
546,철근콘크리트,1,3,11,1,25.3
547,목조,2,1,11,1,30.7
548,목조,2,3,11,8,39.2
549,벽돌,1,0,10,4,17.9
550,벽돌,2,0,3,5,28.1
551,목조,3,2,2,5,39.4
552,목조,2,2,3,9,33
553,철근콘크리트,2,0,12,3,20
554,목조,2,3,2,9,36.9
555,벽돌,1,2,11,5,25.2
556,철근콘크리트,1,3,14,6,19.9
557,벽돌,2,,9,7,27.3
558,철근콘크리트,2,1,4,10,36.2
559,목조,1,0,13,6,23.9
560,철근콘크리트,1,1,12,6,24.1
561,목조,2,1,4,7,25.1
562,목조,1,1,0,1,14.6
563,벽돌,2,2,6,10,25.5
564,목조,3,2,14,6,37.3
565,목조,1,1,0,4,28
566,목조,2,0,6,3,29
567,목조,2,2,8,8,30.4
568,벽돌,2,2,9,10,27.1
569,철근콘크리트,2,2,11,2,32.8
570,벽돌,2,0,7,8,26.4
571,목조,1,3,12,7,27.5
572,목조,2,1,10,10,35.2
573,목조,2,2,6,2,27.8
574,철근콘크리트,1,2,11,7,23.1
575,벽돌,3,0,10,4,33.2
576,철근콘크리트,2,1,3,3,21
577,철근콘크리트,1,2,7,10,20.1
578,철근콘크리트,1,1,1,2,13.2
579,철근콘크리트,2,0,7,10,30.6
580,철근콘크리트,1,3,13,10,20.5
581,목조,2,3,0,1,28.7
582,철근콘크리트,1,0,4,5,18.7
583,철근콘크리트,2,2,8,2,31.4
584,벽돌,2,3,13,3,31.5
585,철근콘크리트,1,0,9,2,23.4
586,철근콘크리트,2,2,3,4,28.8
587,벽돌,1,1,3,10,30.5
588,벽돌,1,0,5,5,28.8
589,벽돌,1,0,9,8,14.7
590,벽돌,2,0,10,1,32.5
591,벽돌,1,3,0,10,27.4
592,벽돌,2,0,10,4,17.7
593,철근콘크리트,2,,11,3,19.1
594,철근콘크리트,3,2,0,6,34.1
595,철근콘크리트,2,1,5,1,25
596,벽돌,2,3,3,10,40.8
597,,1,0,7,5,25.2
598,목조,2,0,9,1,19.3
599,철근콘크리트,1,1,5,2,21.2
600,철근콘크리트,,3,10,7,39.7
601,철근콘크리트,2,,7,7,22.4
602,벽돌,2,3,14,4,31.9
603,철근콘크리트,2,0,1,1,17.1
604,철근콘크리트,2,3,4,2,33.1
605,철근콘크리트,2,3,12,2,29
606,목조,3,1,12,7,33.2
607,벽돌,2,2,4,3,27
608,벽돌,1,2,11,10,22.2
609,철근콘크리트,1,2,8,7,33.5
610,철근콘크리트,2,0,13,7,35.8
611,목조,2,1,6,5,17.1
612,목조,,0,8,6,13
613,철근콘크리트,2,1,2,2,21.5
614,철근콘크리트,2,1,13,1,27.8
615,철근콘크리트,,2,8,7,21.6
616,목조,1,3,5,8,23.3
617,벽돌,1,2,4,5,16.8
618,철근콘크리트,2,3,9,5,20.3
619,목조,3,3,11,5,37.4
620,벽돌,1,0,10,4,25.1
621,철근콘크리트,2,3,10,3,27.4
622,목조,2,2,0,5,33.7
623,목조,1,1,10,8,32.7
624,목조,1,3,7,5,27.7
625,벽돌,1,1,10,5,15
626,벽돌,1,0,7,2,6.2
627,철근콘크리트,1,3,8,6,25.1
628,철근콘크리트,2,3,13,9,29.1
629,벽돌,1,3,5,3,22.4
630,목조,1,0,3,7,24.3
631,벽돌,2,0,2,8,20.2
632,벽돌,2,2,0,5,40.2
633,벽돌,2,1,0,5,21
634,철근콘크리트,2,1,7,10,35.1
635,목조,1,3,13,2,24.6
636,목조,2,2,7,7,28.7
637,목조,1,3,1,9,28.8
638,벽돌,2,2,12,2,31
639,목조,1,0,12,1,10.3
640,벽돌,2,2,10,7,22.2
641,,2,3,11,5,26.3
642,목조,2,3,3,2,22.6
643,벽돌,1,0,4,10,21.2
644,목조,2,0,6,9,24.9
645,벽돌,3,0,2,4,27
646,,1,0,3,5,25.1
647,목조,2,1,13,2,29
648,목조,2,2,11,9,26.8
649,철근콘크리트,1,2,7,1,20
650,벽돌,2,0,14,9,28.9
651,벽돌,2,1,5,7,26.2
652,철근콘크리트,2,0,12,5,22.2
653,목조,2,0,6,4,24.9
654,목조,2,0,3,10,23.5
655,철근콘크리트,2,0,9,8,33
656,철근콘크리트,2,1,1,8,21.3
657,철근콘크리트,2,3,2,10,30.1
658,벽돌,2,3,4,2,19.7
659,벽돌,,3,11,9,35.7
660,벽돌,2,3,9,9,36.8
661,철근콘크리트,2,1,3,3,24.4
662,벽돌,2,1,7,9,22.8
663,벽돌,2,3,7,3,25.1
664,철근콘크리트,2,3,4,3,32.4
665,벽돌,2,3,6,5,24
666,벽돌,1,1,1,4,21.7
667,벽돌,2,2,1,4,27.6
668,목조,2,2,11,4,36.2
669,목조,1,3,0,3,17.3
670,목조,3,,12,3,34.5
671,벽돌,2,0,14,9,21.1
672,벽돌,1,3,10,7,26.2
673,철근콘크리트,2,1,2,8,17.4
674,목조,2,0,13,10,34.3
675,목조,2,1,9,4,29.3
676,벽돌,3,0,7,9,35.7
677,벽돌,1,1,5,1,16.8
678,철근콘크리트,2,0,4,1,28.2
679,철근콘크리트,2,3,9,6,29.2
680,목조,,2,10,4,23.9
681,철근콘크리트,1,3,6,4,27.5
682,벽돌,1,3,1,1,24.7
683,벽돌,3,3,14,3,31.5
684,목조,2,1,7,5,24.7
685,벽돌,1,0,6,5,15.1
686,목조,2,,0,3,32.6
687,목조,1,1,7,5,21.5
688,목조,2,0,4,8,26.8
689,목조,2,1,8,2,22.2
690,벽돌,1,1,10,5,21.1
691,철근콘크리트,2,0,6,8,29.2
692,벽돌,2,0,2,6,26.5
693,벽돌,1,3,9,5,26.1
694,목조,1,1,0,5,21.7
695,목조,2,2,11,6,29.3
696,목조,1,3,5,4,26.4
697,벽돌,1,0,12,1,25
698,철근콘크리트,2,1,12,10,26.8
699,목조,2,2,8,1,38.6
700,철근콘크리트,2,2,3,6,31.8
701,철근콘크리트,2,0,10,8,21.7
702,,3,2,9,1,28
703,철근콘크리트,1,0,1,4,13.3
704,목조,2,3,11,7,27.7
705,벽돌,2,2,0,6,36.4
706,철근콘크리트,1,3,0,4,25.6
707,벽돌,2,0,5,6,26.1
708,목조,2,2,3,9,35
709,철근콘크리트,2,3,8,3,37.3
710,벽돌,1,3,0,8,31.5
711,벽돌,3,0,7,8,29.6
712,목조,1,3,2,1,27.3
713,철근콘크리트,2,,10,8,37.9
714,목조,2,1,6,2,24.3
715,벽돌,3,2,9,2,36
716,목조,,0,7,1,19.7
717,목조,2,3,7,3,32.9
718,철근콘크리트,2,1,0,5,24.6
719,철근콘크리트,2,0,2,3,24.5
720,철근콘크리트,2,0,1,8,22.1
721,철근콘크리트,2,1,10,5,20.1
722,철근콘크리트,1,3,5,6,27.6
723,목조,2,0,10,9,19.3
724,목조,3,3,7,6,43.7
725,목조,2,1,11,7,22.9
726,벽돌,2,2,12,9,28.2
727,철근콘크리트,1,1,10,4,18.1
728,철근콘크리트,1,3,6,5,29.5
729,목조,1,1,14,1,17.8
730,철근콘크리트,2,3,9,10,35.4
731,목조,3,2,10,1,36.1
732,철근콘크리트,1,0,14,5,15.2
733,철근콘크리트,2,2,9,5,26
734,목조,2,0,7,7,29.3
735,목조,,1,14,2,24.4
736,목조,2,3,5,5,29.9
