고객ID,연령,성별,지역,가입기간,월요금,총요금,상담횟수,데이터사용량,계약유형,해지여부
C00080,30,남성,서울,1,120000,120000,6,16.4,약정없음,1
C00081,43,여성,대구,66,102000,6732000,1,55.9,2년약정,0
C00082,25,남성,기타,10,61000,610000,2,20.2,약정없음,0
C00083,57,여성,부산,5,94500,472500,4,8.5,약정없음,1
C00084,39,남성,경기,24,78500,1884000,1,32.8,1년약정,0
C00085,64,여성,서울,4,72000,288000,3,12.7,약정없음,1
C00086,,남성,대구,48,46500,2232000,0,36.5,2년약정,0
C00087,46,여성,기타,1,53000,53000,4,4.2,약정없음,1
C00088,23,남성,부산,12,83500,1002000,2,21.4,약정없음,0
C00089,51,여성,경기,60,107500,6450000,1,59.2,2년약정,0
C00090,28,남성,서울,2,101000,202000,5,7.5,약정없음,1
C00091,60,여성,대구,15,85500,,2,25.6,1년약정,0
C00092,36,남성,기타,3,74500,223500,4,12.2,약정없음,1
C00093,48,여성,부산,24,68000,1632000,1,31.2,1년약정,0
C00094,19,남성,경기,1,125000,125000,6,18.5,약정없음,1
C00095,56,여성,서울,42,43500,1827000,0,38.2,2년약정,0
C00096,41,남성,대구,6,61500,369000,3,17.1,약정없음,1
C00097,32,여성,기타,12,76500,918000,2,21.4,약정없음,0
C00098,67,남성,부산,1,122000,122000,6,19.2,약정없음,1
C00099,35,여성,경기,72,111000,7992000,1,65.8,2년약정,0
C00100,24,남성,서울,10,59000,590000,2,22.5,약정없음,0
C00101,,남성,부산,24,68000,1632000,1,20.2,1년약정,0
C00102,33,여성,경기,3,92000,276000,5,6.5,약정없음,1
C00103,50,남성,서울,60,55000,3300000,0,45.2,2년약정,0
C00104,26,여성,대구,2,108000,216000,4,8.1,약정없음,1
C00105,61,남성,기타,15,82000,,2,15.8,약정없음,0
C00106,22,여성,경기,8,60000,480000,3,13.2,약정없음,1
C00107,48,남성,부산,72,105000,7560000,1,62.1,2년약정,0
C00108,35,여성,서울,20,84000,1680000,2,25.4,1년약정,0
C00109,54,남성,대구,4,63500,254000,6,5.2,약정없음,1
C00110,29,여성,경기,36,44000,1584000,0,32.7,1년약정,0
C00111,38,남성,서울,12,79000,948000,3,16.5,약정없음,1
C00112,63,여성,기타,6,95000,570000,4,9.2,약정없음,1
C00113,45,남성,서울,48,115000,5520000,1,58.3,2년약정,0
C00114,31,여성,부산,24,58000,1392000,2,28.7,1년약정,0
C00115,67,남성,경기,1,48000,,5,2.5,약정없음,1
C00116,,여성,서울,55,91000,5005000,0,42.1,2년약정,0
C00117,24,남성,대구,10,65000,650000,3,18,약정없음,1
C00118,49,여성,기타,36,75000,2700000,1,35.2,1년약정,0
C00119,56,남성,부산,18,88000,1584000,4,22.1,약정없음,1
C00120,33,여성,서울,6,45000,270000,2,14.5,약정없음,0
C00121,28,남성,경기,3,99000,297000,5,5.8,약정없음,1
C00122,46,여성,대구,15,72000,1080000,2,20.1,1년약정,0
C00123,60,남성,서울,66,125000,8250000,1,65.2,2년약정,0
C00124,37,여성,기타,24,80000,1920000,3,30.2,1년약정,0
C00125,23,남성,부산,5,62000,310000,4,11.5,약정없음,1
C00126,51,여성,경기,42,94000,3948000,0,40.1,2년약정,0
C00127,35,남성,서울,1,118000,,6,15.2,약정없음,1
C00128,,여성,대구,60,86000,5160000,1,48.2,2년약정,0
C00129,29,남성,기타,12,52000,624000,2,16.5,약정없음,0
C00130,42,여성,부산,2,89500,179000,5,4.9,약정없음,1
C00131,31,남성,서울,18,72000,1296000,1,22.5,1년약정,0
C00132,44,여성,경기,1,105000,105000,6,8.4,약정없음,1
C00133,29,남성,부산,36,48000,1728000,0,30.2,2년약정,0
C00134,52,여성,기타,2,93500,187000,5,4.2,약정없음,1
C00135,37,남성,대구,14,66000,,2,15.8,약정없음,0
C00136,25,여성,서울,5,81000,405000,4,11.2,약정없음,1
C00137,60,남성,경기,60,112000,6720000,1,58.9,2년약정,0
C00138,43,여성,부산,24,78000,1872000,2,26.4,1년약정,0
C00139,21,남성,서울,3,99500,298500,5,7.1,약정없음,1
C00140,55,여성,기타,48,53000,2544000,0,38.2,2년약정,0
C00141,34,남성,대구,10,82500,825000,3,14.5,약정없음,1
C00142,47,여성,서울,1,118000,118000,6,12,약정없음,1
C00143,,남성,경기,12,42000,504000,2,10.1,1년약정,0
C00144,65,여성,부산,24,96000,2304000,1,33.5,1년약정,0
C00145,39,남성,대구,4,75000,,4,9.2,약정없음,1
C00146,28,여성,서울,36,58000,2088000,0,35.2,2년약정,0
C00147,51,남성,경기,2,102000,204000,5,6.1,약정없음,1
C00148,33,여성,부산,15,77000,1155000,2,19.2,1년약정,0
C00149,45,남성,서울,1,120000,120000,6,15.8,약정없음,1
C00150,22,여성,기타,8,62000,496000,3,11.5,약정없음,1
C00151,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00152,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00153,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00154,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00155,,남성,기타,12,75000,,2,10.2,약정없음,0
C00156,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00157,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00158,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00159,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00160,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00161,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00162,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00163,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00164,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00165,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00166,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00167,,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00168,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00169,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00170,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00171,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00172,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00173,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00174,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00175,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00176,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00177,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00178,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00179,,남성,기타,10,49000,490000,2,14,약정없음,0
C00180,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00181,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00182,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00183,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00184,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00185,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00186,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00187,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00188,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00189,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00190,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00191,,여성,서울,10,78200,782000,3,11,약정없음,1
C00192,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00193,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00194,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00195,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00196,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00197,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00198,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00199,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00200,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00201,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00202,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00203,,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00204,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00205,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00206,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00207,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00208,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00209,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00210,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00211,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00212,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00213,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00214,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00215,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00216,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00217,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00218,,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00219,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00220,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00221,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00222,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00223,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00224,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00225,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00226,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00227,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00228,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00229,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00230,,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00231,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00232,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00233,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00234,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00235,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00236,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00237,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00238,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00239,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00240,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00241,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00242,,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00243,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00244,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00245,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00246,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00247,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00248,,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00249,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00250,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00251,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00252,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00253,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00254,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00255,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00256,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00257,,남성,서울,1,112000,,6,12.1,약정없음,1
C00258,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00259,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00260,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00261,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00262,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00263,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00264,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00265,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00266,,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00267,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00268,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00269,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00270,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00271,33,여성,서울,10,78200,782000,3,11,약정없음,1
C00272,,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00273,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00274,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00275,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00276,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00277,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00278,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00279,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00280,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00281,,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00282,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00283,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00284,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00285,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00286,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00287,,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00288,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00289,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00290,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00291,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00292,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00293,,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00294,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00295,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00296,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00297,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00298,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00299,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00300,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00301,42,남성,서울,24,68000,1632000,1,20.2,1년약정,0
C00302,33,여성,경기,3,92000,276000,5,6.5,약정없음,1
C00303,50,남성,부산,60,55000,3300000,0,45.2,2년약정,0
C00304,26,여성,서울,2,108000,216000,4,8.1,약정없음,1
C00305,61,남성,기타,15,82000,,2,15.8,약정없음,0
C00306,22,여성,경기,8,60000,480000,3,13.2,약정없음,1
C00307,48,남성,대구,72,105000,7560000,1,62.1,2년약정,0
C00308,35,여성,서울,20,84000,1680000,2,25.4,1년약정,0
C00309,54,남성,부산,4,63500,254000,6,5.2,약정없음,1
C00310,29,여성,경기,36,44000,1584000,0,32.7,1년약정,0
C00311,38,남성,서울,12,79000,948000,3,16.5,약정없음,1
C00312,63,여성,기타,6,95000,570000,4,9.2,약정없음,1
C00313,45,남성,서울,48,115000,5520000,1,58.3,2년약정,0
C00314,31,여성,부산,24,58000,1392000,2,28.7,1년약정,0
C00315,67,남성,경기,1,48000,,5,2.5,약정없음,1
C00316,40,여성,서울,55,91000,5005000,0,42.1,2년약정,0
C00317,24,남성,대구,10,65000,650000,3,18,약정없음,1
C00318,49,여성,기타,36,75000,2700000,1,35.2,1년약정,0
C00319,56,남성,부산,18,88000,1584000,4,22.1,약정없음,1
C00320,33,여성,서울,6,45000,270000,2,14.5,약정없음,0
C00321,28,남성,경기,3,99000,297000,5,5.8,약정없음,1
C00322,46,여성,대구,15,72000,1080000,2,20.1,1년약정,0
C00323,60,남성,서울,66,125000,8250000,1,65.2,2년약정,0
C00324,37,여성,기타,24,80000,1920000,3,30.2,1년약정,0
C00325,23,남성,부산,5,62000,310000,4,11.5,약정없음,1
C00326,51,여성,경기,42,94000,3948000,0,40.1,2년약정,0
C00327,35,남성,서울,1,118000,,6,15.2,약정없음,1
C00328,64,여성,대구,60,86000,5160000,1,48.2,2년약정,0
C00329,29,남성,기타,12,52000,624000,2,16.5,약정없음,0
C00330,42,여성,부산,2,89500,179000,5,4.9,약정없음,1
C00331,31,남성,서울,18,72000,1296000,1,22.5,1년약정,0
C00332,44,여성,경기,1,105000,105000,6,8.4,약정없음,1
C00333,29,남성,부산,36,48000,1728000,0,30.2,2년약정,0
C00334,52,여성,기타,2,93500,187000,5,4.2,약정없음,1
C00335,37,남성,대구,14,66000,,2,15.8,약정없음,0
C00336,25,여성,서울,5,81000,405000,4,11.2,약정없음,1
C00337,60,남성,경기,60,112000,6720000,1,58.9,2년약정,0
C00338,43,여성,부산,24,78000,1872000,2,26.4,1년약정,0
C00339,21,남성,서울,3,99500,298500,5,7.1,약정없음,1
C00340,,여성,기타,48,53000,2544000,0,38.2,2년약정,0
C00341,34,남성,대구,10,82500,825000,3,14.5,약정없음,1
C00342,47,여성,서울,1,118000,118000,6,12,약정없음,1
C00343,19,남성,경기,12,42000,504000,2,10.1,1년약정,0
C00344,65,여성,부산,24,96000,2304000,1,33.5,1년약정,0
C00345,39,남성,대구,4,75000,,4,9.2,약정없음,1
C00346,28,여성,서울,36,58000,2088000,0,35.2,2년약정,0
C00347,51,남성,경기,2,102000,204000,5,6.1,약정없음,1
C00348,33,여성,부산,15,77000,1155000,2,19.2,1년약정,0
C00349,45,남성,서울,1,120000,120000,6,15.8,약정없음,1
C00350,22,여성,기타,8,62000,496000,3,11.5,약정없음,1
C00351,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00352,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00353,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00354,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00355,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00356,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00357,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00358,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00359,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00360,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00361,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00362,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00363,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00364,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00365,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00366,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00367,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00368,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00369,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00370,,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00371,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00372,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00373,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00374,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00375,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00376,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00377,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00378,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00379,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00380,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00381,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00382,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00383,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00384,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00385,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00386,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00387,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00388,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00389,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00390,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00391,33,여성,서울,10,78200,782000,3,11,약정없음,1
C00392,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00393,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00394,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00395,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00396,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00397,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00398,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00399,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00400,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00401,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00402,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00403,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00404,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00405,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00406,,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00407,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00408,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00409,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00410,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00411,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00412,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00413,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00414,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00415,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00416,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00417,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00418,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00419,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00420,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
